,      74,    1,   20100801, ARG, ARGH                , Alabama             ,cf2010    
0,2625.0,2.0,20100801.0, ARG, ARGH                , Florida             ,cf2010    
1,771.0,3.0,20100801.0, ARG, ARGH                , Boise St            ,cf2010    
2,7840.0,4.0,20100801.0, ARG, ARGH                , Texas               ,cf2010    
3,7878.0,5.0,20100801.0, ARG, ARGH                , TCU                 ,cf2010    
4,5886.0,6.0,20100801.0, ARG, ARGH                , Oklahoma            ,cf2010    
5,5850.0,7.0,20100801.0, ARG, ARGH                , Ohio St             ,cf2010    
6,5279.0,8.0,20100801.0, ARG, ARGH                , Nebraska            ,cf2010    
7,5961.0,9.0,20100801.0, ARG, ARGH                , Oregon              ,cf2010    
8,5492.0,10.0,20100801.0, ARG, ARGH                , North Carolina      ,cf2010    
9,3540.0,11.0,20100801.0, ARG, ARGH                , Iowa                ,cf2010    
10,8459.0,12.0,20100801.0, ARG, ARGH                , Virginia Tech       ,cf2010    
11,8251.0,13.0,20100801.0, ARG, ARGH                , USC                 ,cf2010    
12,6114.0,14.0,20100801.0, ARG, ARGH                , Penn St             ,cf2010    
13,2911.0,15.0,20100801.0, ARG, ARGH                , Georgia Tech        ,cf2010    
14,4719.0,16.0,20100801.0, ARG, ARGH                , Miami FL            ,cf2010    
15,4206.0,17.0,20100801.0, ARG, ARGH                , LSU                 ,cf2010    
16,1603.0,18.0,20100801.0, ARG, ARGH                , Clemson             ,cf2010    
17,316.0,19.0,20100801.0, ARG, ARGH                , Arkansas            ,cf2010    
18,9031.0,20.0,20100801.0, ARG, ARGH                , Wisconsin           ,cf2010    
19,2881.0,21.0,20100801.0, ARG, ARGH                , Georgia             ,cf2010    
20,7918.0,22.0,20100801.0, ARG, ARGH                , Texas Tech          ,cf2010    
21,4948.0,23.0,20100801.0, ARG, ARGH                , Missouri            ,cf2010    
22,1098.0,24.0,20100801.0, ARG, ARGH                , California          ,cf2010    
23,8315.0,25.0,20100801.0, ARG, ARGH                , Utah                ,cf2010    
24,8716.0,26.0,20100801.0, ARG, ARGH                , West Virginia       ,cf2010    
25,2666.0,27.0,20100801.0, ARG, ARGH                , Florida St          ,cf2010    
26,7242.0,28.0,20100801.0, ARG, ARGH                , South Carolina      ,cf2010    
27,294.0,29.0,20100801.0, ARG, ARGH                , Arizona             ,cf2010    
28,7582.0,30.0,20100801.0, ARG, ARGH                , Stanford            ,cf2010    
29,6236.0,31.0,20100801.0, ARG, ARGH                , Pittsburgh          ,cf2010    
30,1529.0,32.0,20100801.0, ARG, ARGH                , Cincinnati          ,cf2010    
31,5970.0,33.0,20100801.0, ARG, ARGH                , Oregon St           ,cf2010    
32,783.0,34.0,20100801.0, ARG, ARGH                , Boston College      ,cf2010    
33,1872.0,35.0,20100801.0, ARG, ARGH                , Connecticut         ,cf2010    
