,    1,    7840,   20060801, ARG, ARGH                , Texas               ,cf2006    
78,80.0,3347.0,20060801.0, ARG, ARGH                , Houston             ,cf2006    
79,81.0,3197.0,20060801.0, ARG, ARGH                , Hawaii              ,cf2006    
80,82.0,8367.0,20060801.0, ARG, ARGH                , Vanderbilt          ,cf2006    
81,83.0,7002.0,20060801.0, ARG, ARGH                , San Diego St        ,cf2006    
82,84.0,1404.0,20060801.0, ARG, ARGH                , C Michigan          ,cf2006    
83,85.0,4218.0,20060801.0, ARG, ARGH                , Louisiana Tech      ,cf2006    
84,86.0,3781.0,20060801.0, ARG, ARGH                , Kentucky            ,cf2006    
85,87.0,87.0,20060801.0, ARG, ARGH                , UAB                 ,cf2006    
86,88.0,2292.0,20060801.0, ARG, ARGH                , East Carolina       ,cf2006    
87,89.0,4725.0,20060801.0, ARG, ARGH                , Miami OH            ,cf2006    
88,90.0,8767.0,20060801.0, ARG, ARGH                , W Michigan          ,cf2006    
89,91.0,8551.0,20060801.0, ARG, ARGH                , Washington          ,cf2006    
90,92.0,55.0,20060801.0, ARG, ARGH                , Air Force           ,cf2006    
91,93.0,501.0,20060801.0, ARG, ARGH                , Ball St             ,cf2006    
92,94.0,9162.0,20060801.0, ARG, ARGH                , Wyoming             ,cf2006    
93,95.0,356.0,20060801.0, ARG, ARGH                , Army                ,cf2006    
94,96.0,4920.0,20060801.0, ARG, ARGH                , Mississippi         ,cf2006    
95,97.0,5825.0,20060801.0, ARG, ARGH                , Ohio                ,cf2006    
96,98.0,7358.0,20060801.0, ARG, ARGH                , SMU                 ,cf2006    
97,99.0,4194.0,20060801.0, ARG, ARGH                , ULL                 ,cf2006    
98,100.0,7729.0,20060801.0, ARG, ARGH                , Syracuse            ,cf2006    
99,101.0,2353.0,20060801.0, ARG, ARGH                , E Michigan          ,cf2006    
100,102.0,2265.0,20060801.0, ARG, ARGH                , Duke                ,cf2006    
101,103.0,4785.0,20060801.0, ARG, ARGH                , MTSU                ,cf2006    
102,104.0,8068.0,20060801.0, ARG, ARGH                , Troy                ,cf2006    
103,105.0,333.0,20060801.0, ARG, ARGH                , Arkansas St         ,cf2006    
104,106.0,5323.0,20060801.0, ARG, ARGH                , UNLV                ,cf2006    
105,107.0,6535.0,20060801.0, ARG, ARGH                , Rice                ,cf2006    
106,108.0,8092.0,20060801.0, ARG, ARGH                , Tulane              ,cf2006    
107,109.0,8325.0,20060801.0, ARG, ARGH                , Utah St             ,cf2006    
108,110.0,5584.0,20060801.0, ARG, ARGH                , North Texas         ,cf2006    
109,111.0,4200.0,20060801.0, ARG, ARGH                , ULM                 ,cf2006    
110,112.0,7024.0,20060801.0, ARG, ARGH                , San Jose St         ,cf2006    
111,113.0,3771.0,20060801.0, ARG, ARGH                , Kent                ,cf2006    
112,114.0,3415.0,20060801.0, ARG, ARGH                , Idaho               ,cf2006    
113,115.0,2652.0,20060801.0, ARG, ARGH                , Florida Intl        ,cf2006    
114,116.0,2638.0,20060801.0, ARG, ARGH                , FL Atlantic         ,cf2006    
115,117.0,5387.0,20060801.0, ARG, ARGH                , New Mexico St       ,cf2006    
116,118.0,979.0,20060801.0, ARG, ARGH                , Buffalo             ,cf2006    
117,119.0,7788.0,20060801.0, ARG, ARGH                , Temple              ,cf2006    
8188,1.0,7840.0,20060904.0, ARG, ARGH                , Texas               ,cf2006    
8189,2.0,8251.0,20060904.0, ARG, ARGH                , USC                 ,cf2006    
8190,3.0,5850.0,20060904.0, ARG, ARGH                , Ohio St             ,cf2006    
8191,4.0,402.0,20060904.0, ARG, ARGH                , Auburn              ,cf2006    
8192,5.0,4206.0,20060904.0, ARG, ARGH                , LSU                 ,cf2006    
8193,6.0,8459.0,20060904.0, ARG, ARGH                , Virginia Tech       ,cf2006    
8194,7.0,6114.0,20060904.0, ARG, ARGH                , Penn St             ,cf2006    
8195,8.0,5749.0,20060904.0, ARG, ARGH                , Notre Dame          ,cf2006    
8196,9.0,4741.0,20060904.0, ARG, ARGH                , Michigan            ,cf2006    
8197,10.0,5886.0,20060904.0, ARG, ARGH                , Oklahoma            ,cf2006    
8198,11.0,2625.0,20060904.0, ARG, ARGH                , Florida             ,cf2006    
8199,12.0,4224.0,20060904.0, ARG, ARGH                , Louisville          ,cf2006    
8200,13.0,8716.0,20060904.0, ARG, ARGH                , West Virginia       ,cf2006    
8201,14.0,4719.0,20060904.0, ARG, ARGH                , Miami FL            ,cf2006    
8202,15.0,2666.0,20060904.0, ARG, ARGH                , Florida St          ,cf2006    
8203,16.0,783.0,20060904.0, ARG, ARGH                , Boston College      ,cf2006    
8204,17.0,74.0,20060904.0, ARG, ARGH                , Alabama             ,cf2006    
8205,18.0,2881.0,20060904.0, ARG, ARGH                , Georgia             ,cf2006    
8206,19.0,7918.0,20060904.0, ARG, ARGH                , Texas Tech          ,cf2006    
8207,20.0,7878.0,20060904.0, ARG, ARGH                , TCU                 ,cf2006    
8208,21.0,3540.0,20060904.0, ARG, ARGH                , Iowa                ,cf2006    
8209,22.0,9031.0,20060904.0, ARG, ARGH                , Wisconsin           ,cf2006    
8210,23.0,1603.0,20060904.0, ARG, ARGH                , Clemson             ,cf2006    
8211,24.0,5961.0,20060904.0, ARG, ARGH                , Oregon              ,cf2006    
8212,25.0,4858.0,20060904.0, ARG, ARGH                , Minnesota           ,cf2006    
8213,26.0,8141.0,20060904.0, ARG, ARGH                , UCLA                ,cf2006    
8214,27.0,1098.0,20060904.0, ARG, ARGH                , California          ,cf2006    
8215,28.0,5279.0,20060904.0, ARG, ARGH                , Nebraska            ,cf2006    
8216,29.0,304.0,20060904.0, ARG, ARGH                , Arizona St          ,cf2006    
8217,30.0,3554.0,20060904.0, ARG, ARGH                , Iowa St             ,cf2006    
8218,31.0,2911.0,20060904.0, ARG, ARGH                , Georgia Tech        ,cf2006    
8219,32.0,7801.0,20060904.0, ARG, ARGH                , Tennessee           ,cf2006    
8220,33.0,4474.0,20060904.0, ARG, ARGH                , Maryland            ,cf2006    
8221,34.0,7848.0,20060904.0, ARG, ARGH                , Texas A&M           ,cf2006    
8222,35.0,7242.0,20060904.0, ARG, ARGH                , South Carolina      ,cf2006    
8223,36.0,316.0,20060904.0, ARG, ARGH                , Arkansas            ,cf2006    
8224,37.0,5704.0,20060904.0, ARG, ARGH                , Northwestern        ,cf2006    
8225,38.0,5511.0,20060904.0, ARG, ARGH                , NC State            ,cf2006    
8226,39.0,2776.0,20060904.0, ARG, ARGH                , Fresno St           ,cf2006    
8227,40.0,4757.0,20060904.0, ARG, ARGH                , Michigan St         ,cf2006    
8228,41.0,8315.0,20060904.0, ARG, ARGH                , Utah                ,cf2006    
8229,42.0,8508.0,20060904.0, ARG, ARGH                , Wake Forest         ,cf2006    
8230,43.0,771.0,20060904.0, ARG, ARGH                , Boise St            ,cf2006    
8231,44.0,8099.0,20060904.0, ARG, ARGH                , Tulsa               ,cf2006    
8232,45.0,6236.0,20060904.0, ARG, ARGH                , Pittsburgh          ,cf2006    
8233,46.0,4948.0,20060904.0, ARG, ARGH                , Missouri            ,cf2006    
8234,47.0,8432.0,20060904.0, ARG, ARGH                , Virginia            ,cf2006    
8235,48.0,7933.0,20060904.0, ARG, ARGH                , UTEP                ,cf2006    
8236,49.0,6393.0,20060904.0, ARG, ARGH                , Purdue              ,cf2006    
8237,50.0,7278.0,20060904.0, ARG, ARGH                , South Florida       ,cf2006    
8238,51.0,5970.0,20060904.0, ARG, ARGH                , Oregon St           ,cf2006    
8239,52.0,7582.0,20060904.0, ARG, ARGH                , Stanford            ,cf2006    
8240,53.0,3717.0,20060904.0, ARG, ARGH                , Kansas              ,cf2006    
8241,54.0,5492.0,20060904.0, ARG, ARGH                , North Carolina      ,cf2006    
8242,55.0,294.0,20060904.0, ARG, ARGH                , Arizona             ,cf2006    
8243,56.0,5634.0,20060904.0, ARG, ARGH                , N Illinois          ,cf2006    
8244,57.0,6696.0,20060904.0, ARG, ARGH                , Rutgers             ,cf2006    
8245,58.0,8588.0,20060904.0, ARG, ARGH                , Washington St       ,cf2006    
8246,59.0,7978.0,20060904.0, ARG, ARGH                , Toledo              ,cf2006    
8247,60.0,5253.0,20060904.0, ARG, ARGH                , Navy                ,cf2006    
8248,61.0,891.0,20060904.0, ARG, ARGH                , BYU                 ,cf2006    
8249,62.0,3731.0,20060904.0, ARG, ARGH                , Kansas St           ,cf2006    
8250,63.0,7365.0,20060904.0, ARG, ARGH                , Southern Miss       ,cf2006    
8251,64.0,1872.0,20060904.0, ARG, ARGH                , Connecticut         ,cf2006    
8252,65.0,5912.0,20060904.0, ARG, ARGH                , Oklahoma St         ,cf2006    
8253,66.0,1715.0,20060904.0, ARG, ARGH                , Colorado            ,cf2006    
8254,67.0,3484.0,20060904.0, ARG, ARGH                , Indiana             ,cf2006    
8255,68.0,1529.0,20060904.0, ARG, ARGH                , Cincinnati          ,cf2006    
8256,69.0,3425.0,20060904.0, ARG, ARGH                , Illinois            ,cf2006    
8257,70.0,1753.0,20060904.0, ARG, ARGH                , Colorado St         ,cf2006    
8258,71.0,1380.0,20060904.0, ARG, ARGH                , UCF                 ,cf2006    
8259,72.0,557.0,20060904.0, ARG, ARGH                , Baylor              ,cf2006    
8260,73.0,5316.0,20060904.0, ARG, ARGH                , Nevada              ,cf2006    
8261,74.0,3347.0,20060904.0, ARG, ARGH                , Houston             ,cf2006    
8262,75.0,66.0,20060904.0, ARG, ARGH                , Akron               ,cf2006    
8263,76.0,4636.0,20060904.0, ARG, ARGH                , Memphis             ,cf2006    
8264,77.0,3197.0,20060904.0, ARG, ARGH                , Hawaii              ,cf2006    
8265,78.0,4436.0,20060904.0, ARG, ARGH                , Marshall            ,cf2006    
