,    1,    8251,   20070801, ARG, ARGH                , USC                 ,cf2007    
0,2.0,4206.0,20070801.0, ARG, ARGH                , LSU                 ,cf2007    
1,3.0,8716.0,20070801.0, ARG, ARGH                , West Virginia       ,cf2007    
2,4.0,5850.0,20070801.0, ARG, ARGH                , Ohio St             ,cf2007    
3,5.0,7840.0,20070801.0, ARG, ARGH                , Texas               ,cf2007    
4,6.0,8459.0,20070801.0, ARG, ARGH                , Virginia Tech       ,cf2007    
5,7.0,2625.0,20070801.0, ARG, ARGH                , Florida             ,cf2007    
6,8.0,4224.0,20070801.0, ARG, ARGH                , Louisville          ,cf2007    
7,9.0,8141.0,20070801.0, ARG, ARGH                , UCLA                ,cf2007    
8,10.0,4741.0,20070801.0, ARG, ARGH                , Michigan            ,cf2007    
9,11.0,402.0,20070801.0, ARG, ARGH                , Auburn              ,cf2007    
10,12.0,6114.0,20070801.0, ARG, ARGH                , Penn St             ,cf2007    
11,13.0,1098.0,20070801.0, ARG, ARGH                , California          ,cf2007    
12,14.0,5886.0,20070801.0, ARG, ARGH                , Oklahoma            ,cf2007    
13,15.0,9031.0,20070801.0, ARG, ARGH                , Wisconsin           ,cf2007    
14,16.0,2881.0,20070801.0, ARG, ARGH                , Georgia             ,cf2007    
15,17.0,7801.0,20070801.0, ARG, ARGH                , Tennessee           ,cf2007    
16,18.0,6696.0,20070801.0, ARG, ARGH                , Rutgers             ,cf2007    
17,19.0,783.0,20070801.0, ARG, ARGH                , Boston College      ,cf2007    
18,20.0,5961.0,20070801.0, ARG, ARGH                , Oregon              ,cf2007    
19,21.0,7242.0,20070801.0, ARG, ARGH                , South Carolina      ,cf2007    
20,22.0,316.0,20070801.0, ARG, ARGH                , Arkansas            ,cf2007    
21,23.0,2666.0,20070801.0, ARG, ARGH                , Florida St          ,cf2007    
22,24.0,7848.0,20070801.0, ARG, ARGH                , Texas A&M           ,cf2007    
23,25.0,771.0,20070801.0, ARG, ARGH                , Boise St            ,cf2007    
24,26.0,2911.0,20070801.0, ARG, ARGH                , Georgia Tech        ,cf2007    
25,27.0,5749.0,20070801.0, ARG, ARGH                , Notre Dame          ,cf2007    
26,28.0,7278.0,20070801.0, ARG, ARGH                , South Florida       ,cf2007    
27,29.0,7878.0,20070801.0, ARG, ARGH                , TCU                 ,cf2007    
28,30.0,8508.0,20070801.0, ARG, ARGH                , Wake Forest         ,cf2007    
29,31.0,5970.0,20070801.0, ARG, ARGH                , Oregon St           ,cf2007    
30,32.0,74.0,20070801.0, ARG, ARGH                , Alabama             ,cf2007    
31,33.0,4948.0,20070801.0, ARG, ARGH                , Missouri            ,cf2007    
32,34.0,294.0,20070801.0, ARG, ARGH                , Arizona             ,cf2007    
33,35.0,5279.0,20070801.0, ARG, ARGH                , Nebraska            ,cf2007    
34,36.0,891.0,20070801.0, ARG, ARGH                , BYU                 ,cf2007    
35,37.0,4719.0,20070801.0, ARG, ARGH                , Miami FL            ,cf2007    
36,38.0,6393.0,20070801.0, ARG, ARGH                , Purdue              ,cf2007    
37,39.0,1603.0,20070801.0, ARG, ARGH                , Clemson             ,cf2007    
38,40.0,3781.0,20070801.0, ARG, ARGH                , Kentucky            ,cf2007    
39,41.0,7918.0,20070801.0, ARG, ARGH                , Texas Tech          ,cf2007    
40,42.0,5912.0,20070801.0, ARG, ARGH                , Oklahoma St         ,cf2007    
41,43.0,8432.0,20070801.0, ARG, ARGH                , Virginia            ,cf2007    
42,44.0,304.0,20070801.0, ARG, ARGH                , Arizona St          ,cf2007    
43,45.0,8588.0,20070801.0, ARG, ARGH                , Washington St       ,cf2007    
44,46.0,7365.0,20070801.0, ARG, ARGH                , Southern Miss       ,cf2007    
45,47.0,3197.0,20070801.0, ARG, ARGH                , Hawaii              ,cf2007    
46,48.0,8367.0,20070801.0, ARG, ARGH                , Vanderbilt          ,cf2007    
47,49.0,6236.0,20070801.0, ARG, ARGH                , Pittsburgh          ,cf2007    
48,50.0,3540.0,20070801.0, ARG, ARGH                , Iowa                ,cf2007    
49,51.0,4474.0,20070801.0, ARG, ARGH                , Maryland            ,cf2007    
50,52.0,3731.0,20070801.0, ARG, ARGH                , Kansas St           ,cf2007    
51,53.0,3717.0,20070801.0, ARG, ARGH                , Kansas              ,cf2007    
52,54.0,4858.0,20070801.0, ARG, ARGH                , Minnesota           ,cf2007    
53,55.0,8315.0,20070801.0, ARG, ARGH                , Utah                ,cf2007    
54,56.0,5253.0,20070801.0, ARG, ARGH                , Navy                ,cf2007    
55,57.0,3347.0,20070801.0, ARG, ARGH                , Houston             ,cf2007    
56,58.0,4920.0,20070801.0, ARG, ARGH                , Mississippi         ,cf2007    
57,59.0,1529.0,20070801.0, ARG, ARGH                , Cincinnati          ,cf2007    
58,60.0,3484.0,20070801.0, ARG, ARGH                , Indiana             ,cf2007    
59,61.0,4936.0,20070801.0, ARG, ARGH                , Mississippi St      ,cf2007    
60,62.0,1872.0,20070801.0, ARG, ARGH                , Connecticut         ,cf2007    
61,63.0,3425.0,20070801.0, ARG, ARGH                , Illinois            ,cf2007    
62,64.0,8551.0,20070801.0, ARG, ARGH                , Washington          ,cf2007    
63,65.0,1753.0,20070801.0, ARG, ARGH                , Colorado St         ,cf2007    
64,66.0,1404.0,20070801.0, ARG, ARGH                , C Michigan          ,cf2007    
65,67.0,2776.0,20070801.0, ARG, ARGH                , Fresno St           ,cf2007    
66,68.0,7978.0,20070801.0, ARG, ARGH                , Toledo              ,cf2007    
67,69.0,1715.0,20070801.0, ARG, ARGH                , Colorado            ,cf2007    
68,70.0,5316.0,20070801.0, ARG, ARGH                , Nevada              ,cf2007    
69,71.0,8099.0,20070801.0, ARG, ARGH                , Tulsa               ,cf2007    
70,72.0,9162.0,20070801.0, ARG, ARGH                , Wyoming             ,cf2007    
71,73.0,7024.0,20070801.0, ARG, ARGH                , San Jose St         ,cf2007    
72,74.0,7358.0,20070801.0, ARG, ARGH                , SMU                 ,cf2007    
73,75.0,8767.0,20070801.0, ARG, ARGH                , W Michigan          ,cf2007    
74,76.0,5704.0,20070801.0, ARG, ARGH                , Northwestern        ,cf2007    
75,77.0,5371.0,20070801.0, ARG, ARGH                , New Mexico          ,cf2007    
76,78.0,4436.0,20070801.0, ARG, ARGH                , Marshall            ,cf2007    
77,79.0,1380.0,20070801.0, ARG, ARGH                , UCF                 ,cf2007    
78,80.0,5511.0,20070801.0, ARG, ARGH                , NC State            ,cf2007    
79,81.0,2292.0,20070801.0, ARG, ARGH                , East Carolina       ,cf2007    
80,82.0,5492.0,20070801.0, ARG, ARGH                , North Carolina      ,cf2007    
81,83.0,5634.0,20070801.0, ARG, ARGH                , N Illinois          ,cf2007    
82,84.0,4757.0,20070801.0, ARG, ARGH                , Michigan St         ,cf2007    
83,85.0,557.0,20070801.0, ARG, ARGH                , Baylor              ,cf2007    
84,86.0,4200.0,20070801.0, ARG, ARGH                , ULM                 ,cf2007    
85,87.0,8068.0,20070801.0, ARG, ARGH                , Troy                ,cf2007    
86,88.0,3554.0,20070801.0, ARG, ARGH                , Iowa St             ,cf2007    
87,89.0,7002.0,20070801.0, ARG, ARGH                , San Diego St        ,cf2007    
88,90.0,7729.0,20070801.0, ARG, ARGH                , Syracuse            ,cf2007    
89,91.0,4725.0,20070801.0, ARG, ARGH                , Miami OH            ,cf2007    
90,92.0,4636.0,20070801.0, ARG, ARGH                , Memphis             ,cf2007    
91,93.0,501.0,20070801.0, ARG, ARGH                , Ball St             ,cf2007    
92,94.0,6535.0,20070801.0, ARG, ARGH                , Rice                ,cf2007    
93,95.0,2638.0,20070801.0, ARG, ARGH                , FL Atlantic         ,cf2007    
94,96.0,7582.0,20070801.0, ARG, ARGH                , Stanford            ,cf2007    
95,97.0,66.0,20070801.0, ARG, ARGH                , Akron               ,cf2007    
96,98.0,333.0,20070801.0, ARG, ARGH                , Arkansas St         ,cf2007    
97,99.0,4785.0,20070801.0, ARG, ARGH                , MTSU                ,cf2007    
98,100.0,4218.0,20070801.0, ARG, ARGH                , Louisiana Tech      ,cf2007    
99,101.0,55.0,20070801.0, ARG, ARGH                , Air Force           ,cf2007    
100,102.0,7933.0,20070801.0, ARG, ARGH                , UTEP                ,cf2007    
101,103.0,821.0,20070801.0, ARG, ARGH                , Bowling Green       ,cf2007    
102,104.0,3771.0,20070801.0, ARG, ARGH                , Kent                ,cf2007    
103,105.0,5825.0,20070801.0, ARG, ARGH                , Ohio                ,cf2007    
104,106.0,5387.0,20070801.0, ARG, ARGH                , New Mexico St       ,cf2007    
105,107.0,5323.0,20070801.0, ARG, ARGH                , UNLV                ,cf2007    
106,108.0,2265.0,20070801.0, ARG, ARGH                , Duke                ,cf2007    
107,109.0,356.0,20070801.0, ARG, ARGH                , Army                ,cf2007    
108,110.0,4194.0,20070801.0, ARG, ARGH                , ULL                 ,cf2007    
109,111.0,8325.0,20070801.0, ARG, ARGH                , Utah St             ,cf2007    
110,112.0,2353.0,20070801.0, ARG, ARGH                , E Michigan          ,cf2007    
111,113.0,979.0,20070801.0, ARG, ARGH                , Buffalo             ,cf2007    
112,114.0,8092.0,20070801.0, ARG, ARGH                , Tulane              ,cf2007    
113,115.0,87.0,20070801.0, ARG, ARGH                , UAB                 ,cf2007    
114,116.0,7788.0,20070801.0, ARG, ARGH                , Temple              ,cf2007    
115,117.0,3415.0,20070801.0, ARG, ARGH                , Idaho               ,cf2007    
116,118.0,5584.0,20070801.0, ARG, ARGH                , North Texas         ,cf2007    
117,119.0,8761.0,20070801.0, ARG, ARGH                , WKU                 ,cf2007    
118,120.0,2652.0,20070801.0, ARG, ARGH                , Florida Intl        ,cf2007    
7842,1.0,8251.0,20070903.0, ARG, ARGH                , USC                 ,cf2007    
7843,2.0,4206.0,20070903.0, ARG, ARGH                , LSU                 ,cf2007    
7844,3.0,8716.0,20070903.0, ARG, ARGH                , West Virginia       ,cf2007    
7845,4.0,8459.0,20070903.0, ARG, ARGH                , Virginia Tech       ,cf2007    
7846,5.0,7840.0,20070903.0, ARG, ARGH                , Texas               ,cf2007    
7847,6.0,5850.0,20070903.0, ARG, ARGH                , Ohio St             ,cf2007    
7848,7.0,2625.0,20070903.0, ARG, ARGH                , Florida             ,cf2007    
