,    1,    2625,   20090801, ARG, ARGH                , Florida             ,cf2009    
78,80.0,66.0,20090801.0, ARG, ARGH                , Akron               ,cf2009    
79,81.0,6535.0,20090801.0, ARG, ARGH                , Rice                ,cf2009    
80,82.0,6393.0,20090801.0, ARG, ARGH                , Purdue              ,cf2009    
81,83.0,2265.0,20090801.0, ARG, ARGH                , Duke                ,cf2009    
82,84.0,979.0,20090801.0, ARG, ARGH                , Buffalo             ,cf2009    
83,85.0,2638.0,20090801.0, ARG, ARGH                , FL Atlantic         ,cf2009    
84,86.0,5323.0,20090801.0, ARG, ARGH                , UNLV                ,cf2009    
85,87.0,5371.0,20090801.0, ARG, ARGH                , New Mexico          ,cf2009    
86,88.0,3731.0,20090801.0, ARG, ARGH                , Kansas St           ,cf2009    
87,89.0,4936.0,20090801.0, ARG, ARGH                , Mississippi St      ,cf2009    
88,90.0,7024.0,20090801.0, ARG, ARGH                , San Jose St         ,cf2009    
89,91.0,4785.0,20090801.0, ARG, ARGH                , MTSU                ,cf2009    
90,92.0,3484.0,20090801.0, ARG, ARGH                , Indiana             ,cf2009    
91,93.0,87.0,20090801.0, ARG, ARGH                , UAB                 ,cf2009    
92,94.0,9162.0,20090801.0, ARG, ARGH                , Wyoming             ,cf2009    
93,95.0,8588.0,20090801.0, ARG, ARGH                , Washington St       ,cf2009    
94,96.0,5825.0,20090801.0, ARG, ARGH                , Ohio                ,cf2009    
95,97.0,821.0,20090801.0, ARG, ARGH                , Bowling Green       ,cf2009    
96,98.0,1753.0,20090801.0, ARG, ARGH                , Colorado St         ,cf2009    
97,99.0,7978.0,20090801.0, ARG, ARGH                , Toledo              ,cf2009    
98,100.0,7788.0,20090801.0, ARG, ARGH                , Temple              ,cf2009    
99,101.0,4636.0,20090801.0, ARG, ARGH                , Memphis             ,cf2009    
100,102.0,7729.0,20090801.0, ARG, ARGH                , Syracuse            ,cf2009    
101,103.0,2652.0,20090801.0, ARG, ARGH                , Florida Intl        ,cf2009    
102,104.0,3554.0,20090801.0, ARG, ARGH                , Iowa St             ,cf2009    
103,105.0,2353.0,20090801.0, ARG, ARGH                , E Michigan          ,cf2009    
104,106.0,4194.0,20090801.0, ARG, ARGH                , ULL                 ,cf2009    
105,107.0,8325.0,20090801.0, ARG, ARGH                , Utah St             ,cf2009    
106,108.0,5634.0,20090801.0, ARG, ARGH                , N Illinois          ,cf2009    
107,109.0,4200.0,20090801.0, ARG, ARGH                , ULM                 ,cf2009    
108,110.0,8551.0,20090801.0, ARG, ARGH                , Washington          ,cf2009    
109,111.0,7002.0,20090801.0, ARG, ARGH                , San Diego St        ,cf2009    
110,112.0,7358.0,20090801.0, ARG, ARGH                , SMU                 ,cf2009    
111,113.0,3771.0,20090801.0, ARG, ARGH                , Kent                ,cf2009    
112,114.0,8092.0,20090801.0, ARG, ARGH                , Tulane              ,cf2009    
113,115.0,8761.0,20090801.0, ARG, ARGH                , WKU                 ,cf2009    
114,116.0,356.0,20090801.0, ARG, ARGH                , Army                ,cf2009    
115,117.0,4725.0,20090801.0, ARG, ARGH                , Miami OH            ,cf2009    
116,118.0,3415.0,20090801.0, ARG, ARGH                , Idaho               ,cf2009    
117,119.0,5584.0,20090801.0, ARG, ARGH                , North Texas         ,cf2009    
118,120.0,5387.0,20090801.0, ARG, ARGH                , New Mexico St       ,cf2009    
9259,1.0,2625.0,20090907.0, ARG, ARGH                , Florida             ,cf2009    
9260,2.0,7840.0,20090907.0, ARG, ARGH                , Texas               ,cf2009    
9261,3.0,8251.0,20090907.0, ARG, ARGH                , USC                 ,cf2009    
9262,4.0,5886.0,20090907.0, ARG, ARGH                , Oklahoma            ,cf2009    
9263,5.0,1098.0,20090907.0, ARG, ARGH                , California          ,cf2009    
9264,6.0,5850.0,20090907.0, ARG, ARGH                , Ohio St             ,cf2009    
9265,7.0,74.0,20090907.0, ARG, ARGH                , Alabama             ,cf2009    
9266,8.0,8459.0,20090907.0, ARG, ARGH                , Virginia Tech       ,cf2009    
9267,9.0,771.0,20090907.0, ARG, ARGH                , Boise St            ,cf2009    
9268,10.0,6114.0,20090907.0, ARG, ARGH                , Penn St             ,cf2009    
9269,11.0,3717.0,20090907.0, ARG, ARGH                , Kansas              ,cf2009    
9270,12.0,5912.0,20090907.0, ARG, ARGH                , Oklahoma St         ,cf2009    
9271,13.0,7878.0,20090907.0, ARG, ARGH                , TCU                 ,cf2009    
9272,14.0,2911.0,20090907.0, ARG, ARGH                , Georgia Tech        ,cf2009    
9273,15.0,4206.0,20090907.0, ARG, ARGH                , LSU                 ,cf2009    
9274,16.0,4920.0,20090907.0, ARG, ARGH                , Mississippi         ,cf2009    
9275,17.0,891.0,20090907.0, ARG, ARGH                , BYU                 ,cf2009    
9276,18.0,2881.0,20090907.0, ARG, ARGH                , Georgia             ,cf2009    
9277,19.0,4948.0,20090907.0, ARG, ARGH                , Missouri            ,cf2009    
9278,20.0,5970.0,20090907.0, ARG, ARGH                , Oregon St           ,cf2009    
9279,21.0,1529.0,20090907.0, ARG, ARGH                , Cincinnati          ,cf2009    
9280,22.0,8315.0,20090907.0, ARG, ARGH                , Utah                ,cf2009    
9281,23.0,2666.0,20090907.0, ARG, ARGH                , Florida St          ,cf2009    
9282,24.0,6236.0,20090907.0, ARG, ARGH                , Pittsburgh          ,cf2009    
9283,25.0,3540.0,20090907.0, ARG, ARGH                , Iowa                ,cf2009    
9284,26.0,5492.0,20090907.0, ARG, ARGH                , North Carolina      ,cf2009    
9285,27.0,7918.0,20090907.0, ARG, ARGH                , Texas Tech          ,cf2009    
9286,28.0,7278.0,20090907.0, ARG, ARGH                , South Florida       ,cf2009    
9287,29.0,8508.0,20090907.0, ARG, ARGH                , Wake Forest         ,cf2009    
9288,30.0,4757.0,20090907.0, ARG, ARGH                , Michigan St         ,cf2009    
9289,31.0,5749.0,20090907.0, ARG, ARGH                , Notre Dame          ,cf2009    
9290,32.0,8716.0,20090907.0, ARG, ARGH                , West Virginia       ,cf2009    
9291,33.0,5961.0,20090907.0, ARG, ARGH                , Oregon              ,cf2009    
9292,34.0,7582.0,20090907.0, ARG, ARGH                , Stanford            ,cf2009    
9293,35.0,402.0,20090907.0, ARG, ARGH                , Auburn              ,cf2009    
9294,36.0,294.0,20090907.0, ARG, ARGH                , Arizona             ,cf2009    
9295,37.0,783.0,20090907.0, ARG, ARGH                , Boston College      ,cf2009    
9296,38.0,1603.0,20090907.0, ARG, ARGH                , Clemson             ,cf2009    
9297,39.0,2292.0,20090907.0, ARG, ARGH                , East Carolina       ,cf2009    
9298,40.0,3781.0,20090907.0, ARG, ARGH                , Kentucky            ,cf2009    
9299,41.0,4719.0,20090907.0, ARG, ARGH                , Miami FL            ,cf2009    
9300,42.0,1872.0,20090907.0, ARG, ARGH                , Connecticut         ,cf2009    
9301,43.0,557.0,20090907.0, ARG, ARGH                , Baylor              ,cf2009    
9302,44.0,3425.0,20090907.0, ARG, ARGH                , Illinois            ,cf2009    
9303,45.0,6696.0,20090907.0, ARG, ARGH                , Rutgers             ,cf2009    
9304,46.0,7801.0,20090907.0, ARG, ARGH                , Tennessee           ,cf2009    
9305,47.0,8367.0,20090907.0, ARG, ARGH                , Vanderbilt          ,cf2009    
9306,48.0,9031.0,20090907.0, ARG, ARGH                , Wisconsin           ,cf2009    
9307,49.0,316.0,20090907.0, ARG, ARGH                , Arkansas            ,cf2009    
9308,50.0,5279.0,20090907.0, ARG, ARGH                , Nebraska            ,cf2009    
9309,51.0,7848.0,20090907.0, ARG, ARGH                , Texas A&M           ,cf2009    
9310,52.0,8141.0,20090907.0, ARG, ARGH                , UCLA                ,cf2009    
9311,53.0,7365.0,20090907.0, ARG, ARGH                , Southern Miss       ,cf2009    
9312,54.0,7242.0,20090907.0, ARG, ARGH                , South Carolina      ,cf2009    
9313,55.0,304.0,20090907.0, ARG, ARGH                , Arizona St          ,cf2009    
9314,56.0,8099.0,20090907.0, ARG, ARGH                , Tulsa               ,cf2009    
9315,57.0,4474.0,20090907.0, ARG, ARGH                , Maryland            ,cf2009    
9316,58.0,8068.0,20090907.0, ARG, ARGH                , Troy                ,cf2009    
9317,59.0,3347.0,20090907.0, ARG, ARGH                , Houston             ,cf2009    
9318,60.0,55.0,20090907.0, ARG, ARGH                , Air Force           ,cf2009    
9319,61.0,5511.0,20090907.0, ARG, ARGH                , NC State            ,cf2009    
9320,62.0,1404.0,20090907.0, ARG, ARGH                , C Michigan          ,cf2009    
9321,63.0,4858.0,20090907.0, ARG, ARGH                , Minnesota           ,cf2009    
9322,64.0,4741.0,20090907.0, ARG, ARGH                , Michigan            ,cf2009    
9323,65.0,1715.0,20090907.0, ARG, ARGH                , Colorado            ,cf2009    
9324,66.0,8432.0,20090907.0, ARG, ARGH                , Virginia            ,cf2009    
9325,67.0,5704.0,20090907.0, ARG, ARGH                , Northwestern        ,cf2009    
9326,68.0,2776.0,20090907.0, ARG, ARGH                , Fresno St           ,cf2009    
9327,69.0,1380.0,20090907.0, ARG, ARGH                , UCF                 ,cf2009    
9328,70.0,5316.0,20090907.0, ARG, ARGH                , Nevada              ,cf2009    
9329,71.0,4224.0,20090907.0, ARG, ARGH                , Louisville          ,cf2009    
9330,72.0,979.0,20090907.0, ARG, ARGH                , Buffalo             ,cf2009    
9331,73.0,5253.0,20090907.0, ARG, ARGH                , Navy                ,cf2009    
9332,74.0,333.0,20090907.0, ARG, ARGH                , Arkansas St         ,cf2009    
9333,75.0,6393.0,20090907.0, ARG, ARGH                , Purdue              ,cf2009    
9334,76.0,3197.0,20090907.0, ARG, ARGH                , Hawaii              ,cf2009    
9335,77.0,5323.0,20090907.0, ARG, ARGH                , UNLV                ,cf2009    
9336,78.0,4218.0,20090907.0, ARG, ARGH                , Louisiana Tech      ,cf2009    
9337,79.0,4436.0,20090907.0, ARG, ARGH                , Marshall            ,cf2009    
9338,80.0,8767.0,20090907.0, ARG, ARGH                , W Michigan          ,cf2009    
9339,81.0,821.0,20090907.0, ARG, ARGH                , Bowling Green       ,cf2009    
9340,82.0,4936.0,20090907.0, ARG, ARGH                , Mississippi St      ,cf2009    
9341,83.0,66.0,20090907.0, ARG, ARGH                , Akron               ,cf2009    
9342,84.0,87.0,20090907.0, ARG, ARGH                , UAB                 ,cf2009    
9343,85.0,1753.0,20090907.0, ARG, ARGH                , Colorado St         ,cf2009    
9344,86.0,7933.0,20090907.0, ARG, ARGH                , UTEP                ,cf2009    
9345,87.0,3731.0,20090907.0, ARG, ARGH                , Kansas St           ,cf2009    
9346,88.0,7024.0,20090907.0, ARG, ARGH                , San Jose St         ,cf2009    
9347,89.0,6535.0,20090907.0, ARG, ARGH                , Rice                ,cf2009    
9348,90.0,2638.0,20090907.0, ARG, ARGH                , FL Atlantic         ,cf2009    
9349,91.0,3484.0,20090907.0, ARG, ARGH                , Indiana             ,cf2009    
9350,92.0,9162.0,20090907.0, ARG, ARGH                , Wyoming             ,cf2009    
9351,93.0,5371.0,20090907.0, ARG, ARGH                , New Mexico          ,cf2009    
9352,94.0,4785.0,20090907.0, ARG, ARGH                , MTSU                ,cf2009    
9353,95.0,501.0,20090907.0, ARG, ARGH                , Ball St             ,cf2009    
9354,96.0,3554.0,20090907.0, ARG, ARGH                , Iowa St             ,cf2009    
9355,97.0,4194.0,20090907.0, ARG, ARGH                , ULL                 ,cf2009    
9356,98.0,2265.0,20090907.0, ARG, ARGH                , Duke                ,cf2009    
9357,99.0,5825.0,20090907.0, ARG, ARGH                , Ohio                ,cf2009    
9358,100.0,8588.0,20090907.0, ARG, ARGH                , Washington St       ,cf2009    
9359,101.0,4636.0,20090907.0, ARG, ARGH                , Memphis             ,cf2009    
9360,102.0,7978.0,20090907.0, ARG, ARGH                , Toledo              ,cf2009    
9361,103.0,2652.0,20090907.0, ARG, ARGH                , Florida Intl        ,cf2009    
9362,104.0,7729.0,20090907.0, ARG, ARGH                , Syracuse            ,cf2009    
9363,105.0,8325.0,20090907.0, ARG, ARGH                , Utah St             ,cf2009    
9364,106.0,4200.0,20090907.0, ARG, ARGH                , ULM                 ,cf2009    
9365,107.0,5634.0,20090907.0, ARG, ARGH                , N Illinois          ,cf2009    
9366,108.0,7788.0,20090907.0, ARG, ARGH                , Temple              ,cf2009    
9367,109.0,8551.0,20090907.0, ARG, ARGH                , Washington          ,cf2009    
9368,110.0,3771.0,20090907.0, ARG, ARGH                , Kent                ,cf2009    
9369,111.0,2353.0,20090907.0, ARG, ARGH                , E Michigan          ,cf2009    
9370,112.0,7358.0,20090907.0, ARG, ARGH                , SMU                 ,cf2009    
9371,113.0,7002.0,20090907.0, ARG, ARGH                , San Diego St        ,cf2009    
9372,114.0,356.0,20090907.0, ARG, ARGH                , Army                ,cf2009    
9373,115.0,8092.0,20090907.0, ARG, ARGH                , Tulane              ,cf2009    
9374,116.0,8761.0,20090907.0, ARG, ARGH                , WKU                 ,cf2009    
