,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
78,7358.0,80.0,20120801.0, ARG, ARGH                , SMU                 ,cf2012    
79,7978.0,81.0,20120801.0, ARG, ARGH                , Toledo              ,cf2012    
80,4194.0,82.0,20120801.0, ARG, ARGH                , ULL                 ,cf2012    
81,333.0,83.0,20120801.0, ARG, ARGH                , Arkansas St         ,cf2012    
82,9162.0,84.0,20120801.0, ARG, ARGH                , Wyoming             ,cf2012    
83,4858.0,85.0,20120801.0, ARG, ARGH                , Minnesota           ,cf2012    
84,2265.0,86.0,20120801.0, ARG, ARGH                , Duke                ,cf2012    
85,2292.0,87.0,20120801.0, ARG, ARGH                , East Carolina       ,cf2012    
86,5253.0,88.0,20120801.0, ARG, ARGH                , Navy                ,cf2012    
87,8761.0,89.0,20120801.0, ARG, ARGH                , WKU                 ,cf2012    
88,7788.0,90.0,20120801.0, ARG, ARGH                , Temple              ,cf2012    
89,1404.0,91.0,20120801.0, ARG, ARGH                , C Michigan          ,cf2012    
90,356.0,92.0,20120801.0, ARG, ARGH                , Army                ,cf2012    
91,8325.0,93.0,20120801.0, ARG, ARGH                , Utah St             ,cf2012    
92,501.0,94.0,20120801.0, ARG, ARGH                , Ball St             ,cf2012    
93,1715.0,95.0,20120801.0, ARG, ARGH                , Colorado            ,cf2012    
94,3484.0,96.0,20120801.0, ARG, ARGH                , Indiana             ,cf2012    
95,5584.0,97.0,20120801.0, ARG, ARGH                , North Texas         ,cf2012    
96,2353.0,98.0,20120801.0, ARG, ARGH                , E Michigan          ,cf2012    
97,6535.0,99.0,20120801.0, ARG, ARGH                , Rice                ,cf2012    
98,7933.0,100.0,20120801.0, ARG, ARGH                , UTEP                ,cf2012    
99,8588.0,101.0,20120801.0, ARG, ARGH                , Washington St       ,cf2012    
100,2776.0,102.0,20120801.0, ARG, ARGH                , Fresno St           ,cf2012    
101,3717.0,103.0,20120801.0, ARG, ARGH                , Kansas              ,cf2012    
102,55.0,104.0,20120801.0, ARG, ARGH                , Air Force           ,cf2012    
103,4200.0,105.0,20120801.0, ARG, ARGH                , ULM                 ,cf2012    
104,8068.0,106.0,20120801.0, ARG, ARGH                , Troy                ,cf2012    
105,3197.0,107.0,20120801.0, ARG, ARGH                , Hawaii              ,cf2012    
106,7024.0,108.0,20120801.0, ARG, ARGH                , San Jose St         ,cf2012    
107,979.0,109.0,20120801.0, ARG, ARGH                , Buffalo             ,cf2012    
108,7237.0,110.0,20120801.0, ARG, ARGH                , South Alabama       ,cf2012    
109,5323.0,111.0,20120801.0, ARG, ARGH                , UNLV                ,cf2012    
110,7911.0,112.0,20120801.0, ARG, ARGH                , Texas St            ,cf2012    
111,87.0,113.0,20120801.0, ARG, ARGH                , UAB                 ,cf2012    
112,8092.0,114.0,20120801.0, ARG, ARGH                , Tulane              ,cf2012    
113,3415.0,115.0,20120801.0, ARG, ARGH                , Idaho               ,cf2012    
114,1753.0,116.0,20120801.0, ARG, ARGH                , Colorado St         ,cf2012    
115,4785.0,117.0,20120801.0, ARG, ARGH                , MTSU                ,cf2012    
116,7900.0,118.0,20120801.0, ARG, ARGH                , UT San Antonio      ,cf2012    
117,5387.0,119.0,20120801.0, ARG, ARGH                , New Mexico St       ,cf2012    
118,2638.0,120.0,20120801.0, ARG, ARGH                , FL Atlantic         ,cf2012    
119,4636.0,121.0,20120801.0, ARG, ARGH                , Memphis             ,cf2012    
120,4548.0,122.0,20120801.0, ARG, ARGH                , Massachusetts       ,cf2012    
121,5371.0,123.0,20120801.0, ARG, ARGH                , New Mexico          ,cf2012    
122,66.0,124.0,20120801.0, ARG, ARGH                , Akron               ,cf2012    
10786,74.0,1.0,20120903.0, ARG, ARGH                , Alabama             ,cf2012    
10787,5886.0,2.0,20120903.0, ARG, ARGH                , Oklahoma            ,cf2012    
