,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5055920050910.0,559.0,5.0,49.0,24.0,,,
1,5041920050917.0,5.0,419.0,17.0,7.0,,,
2,503000520050924.0,5.0,503.0,48.0,42.0,,,
3,129000520051001.0,129.0,5.0,31.0,17.0,,,
4,5008620051008.0,5.0,86.0,13.0,7.0,,,
5,5041420051015.0,414.0,5.0,51.0,23.0,,,
6,725000520051022.0,725.0,5.0,20.0,0.0,,,
7,5007120051029.0,5.0,71.0,24.0,14.0,,,
8,5004720051105.0,47.0,5.0,23.0,17.0,,,
9,519000520051115.0,5.0,519.0,27.0,3.0,,,
10,331000520051124.0,5.0,331.0,35.0,3.0,,,
11,5050320051201.0,5.0,503.0,31.0,30.0,,,
12,404000520051226.0,404.0,5.0,38.0,31.0,,,
13,419000820050903.0,8.0,419.0,26.0,7.0,,,
14,664000820050910.0,8.0,664.0,30.0,21.0,,,
15,8064820050917.0,8.0,648.0,37.0,14.0,,,
16,31000820050924.0,8.0,31.0,24.0,13.0,,,
17,235000820051001.0,8.0,235.0,31.0,3.0,,,
18,8043320051015.0,8.0,433.0,13.0,10.0,,,
19,694000820051022.0,8.0,694.0,6.0,3.0,,,
20,731000820051029.0,8.0,731.0,35.0,3.0,,,
21,8043020051105.0,8.0,430.0,17.0,0.0,,,
22,365000820051112.0,365.0,8.0,16.0,13.0,,,
23,8003720051119.0,37.0,8.0,28.0,18.0,,,
24,700000820060102.0,8.0,700.0,13.0,10.0,,,
25,9069420050903.0,694.0,9.0,17.0,10.0,,,
26,9071620050910.0,9.0,716.0,27.0,7.0,,,
27,315000920050917.0,9.0,315.0,35.0,28.0,,,
28,574000920051001.0,9.0,574.0,45.0,26.0,,,
29,663000920051008.0,663.0,9.0,28.0,27.0,,,
30,9038820051015.0,388.0,9.0,20.0,19.0,,,
31,664000920051021.0,664.0,9.0,37.0,28.0,,,
32,9040420051101.0,9.0,404.0,37.0,20.0,,,
33,128000920051112.0,128.0,9.0,27.0,21.0,,,
34,9070420051119.0,9.0,704.0,35.0,23.0,,,
35,9019620051126.0,196.0,9.0,31.0,23.0,,,
36,690002820050901.0,28.0,690.0,63.0,16.0,,,
37,365002820050910.0,365.0,28.0,35.0,31.0,,,
38,509002820050917.0,28.0,509.0,52.0,21.0,,,
39,28052820050924.0,28.0,528.0,42.0,24.0,,,
40,657002820051001.0,657.0,28.0,38.0,28.0,,,
41,529002820051008.0,529.0,28.0,31.0,17.0,,,
42,28067420051022.0,674.0,28.0,45.0,35.0,,,
43,756002820051029.0,28.0,756.0,44.0,20.0,,,
44,28075420051105.0,28.0,754.0,27.0,24.0,,,
45,28011020051112.0,110.0,28.0,45.0,35.0,,,
46,29002820051125.0,28.0,29.0,23.0,20.0,,,
47,28058720051227.0,28.0,587.0,45.0,40.0,,,
48,29073220050902.0,732.0,29.0,27.0,24.0,,,
49,501002920050910.0,29.0,501.0,31.0,12.0,,,
50,559002920050917.0,559.0,29.0,31.0,24.0,,,
51,29010720051001.0,107.0,29.0,28.0,0.0,,,
52,29065720051008.0,657.0,29.0,42.0,21.0,,,
53,674002920051015.0,674.0,29.0,20.0,16.0,,,
54,529002920051022.0,529.0,29.0,28.0,21.0,,,
55,29052820051029.0,29.0,528.0,29.0,27.0,,,
56,110002920051105.0,29.0,110.0,52.0,14.0,,,
57,756002920051112.0,756.0,29.0,38.0,14.0,,,
58,434003020050903.0,434.0,30.0,44.0,17.0,,,
59,695003020050910.0,30.0,695.0,56.0,7.0,,,
60,30052120050917.0,521.0,30.0,20.0,10.0,,,
61,231003020050924.0,30.0,231.0,66.0,24.0,,,
62,30049820051001.0,498.0,30.0,31.0,27.0,,,
63,671003020051013.0,30.0,671.0,39.0,36.0,,,
64,229003020051022.0,30.0,229.0,3.0,0.0,,,
65,30041920051105.0,419.0,30.0,45.0,7.0,,,
66,716003020051112.0,30.0,716.0,9.0,3.0,,,
67,30072520051119.0,725.0,30.0,38.0,10.0,,,
68,30049720051126.0,30.0,497.0,31.0,24.0,,,
69,664003020051220.0,664.0,30.0,31.0,19.0,,,
70,669003120050903.0,31.0,669.0,49.0,17.0,,,
71,736003120050910.0,736.0,31.0,28.0,24.0,,,
72,31065720050917.0,657.0,31.0,70.0,17.0,,,
73,498003120051008.0,31.0,498.0,44.0,15.0,,,
74,37003120051015.0,37.0,31.0,34.0,17.0,,,
75,31025720051022.0,257.0,31.0,23.0,20.0,,,
76,648003120051105.0,648.0,31.0,14.0,10.0,,,
77,31043320051112.0,31.0,433.0,28.0,17.0,,,
78,430003120051119.0,31.0,430.0,44.0,10.0,,,
79,31036520051125.0,365.0,31.0,19.0,17.0,,,
80,255003720050903.0,255.0,37.0,23.0,14.0,,,
81,430003720050910.0,37.0,430.0,28.0,0.0,,,
82,47003720050917.0,37.0,47.0,63.0,3.0,,,
83,772003720050924.0,37.0,772.0,37.0,14.0,,,
84,648003720051001.0,37.0,648.0,48.0,7.0,,,
85,37036520051022.0,365.0,37.0,20.0,17.0,,,
86,433003720051029.0,37.0,433.0,27.0,3.0,,,
87,37033420051105.0,37.0,334.0,49.0,27.0,,,
88,37025720051112.0,37.0,257.0,31.0,30.0,,,
89,796003720060102.0,796.0,37.0,24.0,10.0,,,
90,47031220050903.0,312.0,47.0,56.0,0.0,,,
91,71004720050910.0,71.0,47.0,40.0,31.0,,,
92,47006720051001.0,67.0,47.0,38.0,0.0,,,
93,47077420051008.0,47.0,774.0,60.0,57.0,,,
94,709004720051015.0,709.0,47.0,34.0,14.0,,,
95,47051920051022.0,519.0,47.0,38.0,21.0,,,
96,47050320051029.0,47.0,503.0,31.0,17.0,,,
97,47020420051112.0,47.0,204.0,26.0,25.0,,,
98,129004720051119.0,129.0,47.0,31.0,24.0,,,
99,51066320050903.0,51.0,663.0,28.0,23.0,,,
100,625005120050910.0,51.0,625.0,48.0,14.0,,,
101,51072520050917.0,51.0,725.0,20.0,10.0,,,
102,51069720051001.0,697.0,51.0,16.0,13.0,,,
103,51031120051008.0,51.0,311.0,23.0,13.0,,,
104,463005120051015.0,463.0,51.0,23.0,14.0,,,
105,51052220051022.0,522.0,51.0,37.0,30.0,,,
106,700005120051029.0,700.0,51.0,28.0,0.0,,,
107,703005120051105.0,703.0,51.0,62.0,0.0,,,
108,51043420051112.0,434.0,51.0,31.0,16.0,,,
109,521005120051119.0,51.0,521.0,44.0,34.0,,,
110,66025720050903.0,257.0,66.0,48.0,13.0,,,
111,66052820050910.0,528.0,66.0,30.0,27.0,,,
112,71006620050921.0,66.0,71.0,48.0,20.0,,,
113,66027720051001.0,66.0,277.0,44.0,41.0,,,
114,550006620051008.0,66.0,550.0,21.0,14.0,,,
115,630006620051015.0,66.0,630.0,38.0,21.0,,,
116,66073120051022.0,66.0,731.0,45.0,21.0,,,
117,466006620051029.0,66.0,466.0,49.0,14.0,,,
118,472006620051105.0,66.0,472.0,56.0,6.0,,,
119,66009620051110.0,96.0,66.0,27.0,7.0,,,
120,295006620051119.0,66.0,295.0,70.0,35.0,,,
121,66036620051126.0,66.0,366.0,30.0,13.0,,,
122,66006720051228.0,67.0,66.0,27.0,21.0,,,
123,67007720050903.0,67.0,77.0,20.0,3.0,,,
124,725006720050910.0,67.0,725.0,44.0,7.0,,,
125,234006720050917.0,234.0,67.0,28.0,17.0,,,
