,      74,    1,   20130801, ARG, ARGH                , Alabama             ,cf2013    
0,5961.0,2.0,20130801.0, ARG, ARGH                , Oregon              ,cf2013    
1,5749.0,3.0,20130801.0, ARG, ARGH                , Notre Dame          ,cf2013    
2,2881.0,4.0,20130801.0, ARG, ARGH                , Georgia             ,cf2013    
3,7840.0,5.0,20130801.0, ARG, ARGH                , Texas               ,cf2013    
4,7582.0,6.0,20130801.0, ARG, ARGH                , Stanford            ,cf2013    
5,7848.0,7.0,20130801.0, ARG, ARGH                , Texas A&M           ,cf2013    
6,5970.0,8.0,20130801.0, ARG, ARGH                , Oregon St           ,cf2013    
7,5850.0,9.0,20130801.0, ARG, ARGH                , Ohio St             ,cf2013    
8,2625.0,10.0,20130801.0, ARG, ARGH                , Florida             ,cf2013    
9,7242.0,11.0,20130801.0, ARG, ARGH                , South Carolina      ,cf2013    
10,4206.0,12.0,20130801.0, ARG, ARGH                , LSU                 ,cf2013    
11,5912.0,13.0,20130801.0, ARG, ARGH                , Oklahoma St         ,cf2013    
12,5886.0,14.0,20130801.0, ARG, ARGH                , Oklahoma            ,cf2013    
13,8551.0,15.0,20130801.0, ARG, ARGH                , Washington          ,cf2013    
14,7878.0,16.0,20130801.0, ARG, ARGH                , TCU                 ,cf2013    
15,8251.0,17.0,20130801.0, ARG, ARGH                , USC                 ,cf2013    
16,1603.0,18.0,20130801.0, ARG, ARGH                , Clemson             ,cf2013    
17,5704.0,19.0,20130801.0, ARG, ARGH                , Northwestern        ,cf2013    
18,4741.0,20.0,20130801.0, ARG, ARGH                , Michigan            ,cf2013    
19,4757.0,21.0,20130801.0, ARG, ARGH                , Michigan St         ,cf2013    
20,2666.0,22.0,20130801.0, ARG, ARGH                , Florida St          ,cf2013    
21,9031.0,23.0,20130801.0, ARG, ARGH                , Wisconsin           ,cf2013    
22,5279.0,24.0,20130801.0, ARG, ARGH                , Nebraska            ,cf2013    
23,4948.0,25.0,20130801.0, ARG, ARGH                , Missouri            ,cf2013    
24,4920.0,26.0,20130801.0, ARG, ARGH                , Mississippi         ,cf2013    
25,3731.0,27.0,20130801.0, ARG, ARGH                , Kansas St           ,cf2013    
26,557.0,28.0,20130801.0, ARG, ARGH                , Baylor              ,cf2013    
27,294.0,29.0,20130801.0, ARG, ARGH                , Arizona             ,cf2013    
28,8367.0,30.0,20130801.0, ARG, ARGH                , Vanderbilt          ,cf2013    
29,304.0,31.0,20130801.0, ARG, ARGH                , Arizona St          ,cf2013    
30,8141.0,32.0,20130801.0, ARG, ARGH                , UCLA                ,cf2013    
31,8459.0,33.0,20130801.0, ARG, ARGH                , Virginia Tech       ,cf2013    
32,4224.0,34.0,20130801.0, ARG, ARGH                , Louisville          ,cf2013    
33,6114.0,35.0,20130801.0, ARG, ARGH                , Penn St             ,cf2013    
34,4719.0,36.0,20130801.0, ARG, ARGH                , Miami FL            ,cf2013    
