,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5012820130829.0,128.0,5.0,38.0,7.0,,,
1,317000520130907.0,5.0,317.0,35.0,33.0,,,
2,5041820130914.0,418.0,5.0,28.0,24.0,,,
3,671000520130921.0,671.0,5.0,35.0,30.0,,,
4,5007120130928.0,71.0,5.0,31.0,14.0,,,
5,519000520131005.0,519.0,5.0,43.0,3.0,,,
6,5050320131012.0,503.0,5.0,27.0,20.0,,,
7,5041420131019.0,5.0,414.0,24.0,17.0,,,
8,47000520131026.0,47.0,5.0,42.0,24.0,,,
9,331000520131102.0,5.0,331.0,16.0,7.0,,,
10,5040020131116.0,5.0,400.0,14.0,13.0,,,
11,709000520131129.0,5.0,709.0,31.0,29.0,,,
12,8074220130831.0,8.0,742.0,35.0,10.0,,,
13,8069720130914.0,8.0,697.0,49.0,42.0,,,
14,156000820130921.0,8.0,156.0,31.0,6.0,,,
15,433000820130928.0,8.0,433.0,25.0,0.0,,,
16,254000820131005.0,8.0,254.0,45.0,3.0,,,
17,8033420131012.0,8.0,334.0,48.0,7.0,,,
18,31000820131019.0,8.0,31.0,52.0,0.0,,,
19,694000820131026.0,8.0,694.0,45.0,10.0,,,
20,365000820131109.0,8.0,365.0,38.0,17.0,,,
21,8043020131116.0,8.0,430.0,20.0,7.0,,,
22,693000820131123.0,8.0,693.0,49.0,0.0,,,
23,8003720131130.0,37.0,8.0,34.0,28.0,,,
24,522000820140102.0,522.0,8.0,45.0,31.0,,,
25,9071620130831.0,716.0,9.0,34.0,31.0,,,
26,9036520130907.0,365.0,9.0,56.0,17.0,,,
27,508000920130921.0,9.0,508.0,52.0,28.0,,,
28,9073620130928.0,736.0,9.0,52.0,24.0,,,
29,229000920131005.0,229.0,9.0,37.0,23.0,,,
30,9023120131012.0,9.0,231.0,27.0,24.0,,,
31,9070620131026.0,706.0,9.0,52.0,31.0,,,
32,419000920131102.0,419.0,9.0,24.0,21.0,,,
33,9038820131109.0,388.0,9.0,56.0,14.0,,,
34,9019620131116.0,196.0,9.0,63.0,14.0,,,
35,574000920131121.0,574.0,9.0,37.0,34.0,,,
36,664000920131130.0,664.0,9.0,62.0,27.0,,,
37,102002820130905.0,28.0,102.0,55.0,0.0,,,
38,796002820130914.0,28.0,796.0,32.0,30.0,,,
39,28067420130921.0,674.0,28.0,42.0,28.0,,,
40,657002820130928.0,28.0,657.0,62.0,41.0,,,
41,28051320131005.0,513.0,28.0,37.0,34.0,,,
42,157002820131012.0,28.0,157.0,54.0,13.0,,,
43,756002820131019.0,28.0,756.0,53.0,24.0,,,
44,28075420131031.0,28.0,754.0,55.0,21.0,,,
45,28073220131109.0,28.0,732.0,20.0,19.0,,,
46,528002820131116.0,28.0,528.0,30.0,17.0,,,
47,28011020131123.0,28.0,110.0,38.0,33.0,,,
48,29002820131130.0,28.0,29.0,58.0,21.0,,,
49,674002820131207.0,674.0,28.0,38.0,14.0,,,
50,28070020131230.0,700.0,28.0,37.0,23.0,,,
51,501002920130830.0,29.0,501.0,35.0,0.0,,,
52,29046520130907.0,29.0,465.0,58.0,13.0,,,
53,706002920130914.0,29.0,706.0,38.0,13.0,,,
54,29075620130928.0,756.0,29.0,31.0,13.0,,,
55,29065720131010.0,657.0,29.0,38.0,31.0,,,
56,732002920131019.0,29.0,732.0,35.0,24.0,,,
57,29015720131026.0,29.0,157.0,44.0,20.0,,,
58,29010720131102.0,29.0,107.0,33.0,28.0,,,
59,110002920131109.0,110.0,29.0,31.0,26.0,,,
60,754002920131116.0,754.0,29.0,24.0,17.0,,,
61,529002920131123.0,29.0,529.0,42.0,16.0,,,
62,29006720131231.0,29.0,67.0,42.0,19.0,,,
63,2678003020130831.0,30.0,2678.0,62.0,11.0,,,
64,30003720130907.0,37.0,30.0,38.0,9.0,,,
65,716003020130912.0,30.0,716.0,41.0,34.0,,,
66,30040420130921.0,404.0,30.0,31.0,7.0,,,
67,30043420130928.0,434.0,30.0,41.0,19.0,,,
68,295003020131012.0,30.0,295.0,48.0,24.0,,,
69,671003020131022.0,671.0,30.0,23.0,7.0,,,
70,30064620131102.0,30.0,646.0,17.0,16.0,,,
71,30049820131109.0,30.0,498.0,42.0,14.0,,,
72,670003020131116.0,30.0,670.0,38.0,21.0,,,
73,254003020131123.0,30.0,254.0,35.0,33.0,,,
74,30077220131130.0,772.0,30.0,34.0,31.0,,,
75,30004720140105.0,30.0,47.0,23.0,20.0,,,
76,671003120130831.0,31.0,671.0,34.0,14.0,,,
77,625003120130907.0,31.0,625.0,31.0,21.0,,,
78,664003120130914.0,31.0,664.0,24.0,3.0,,,
79,31058720130921.0,587.0,31.0,28.0,24.0,,,
80,697003120130928.0,697.0,31.0,45.0,33.0,,,
81,31023520131005.0,235.0,31.0,30.0,10.0,,,
82,648003120131012.0,648.0,31.0,52.0,7.0,,,
83,37003120131102.0,37.0,31.0,35.0,17.0,,,
84,31043320131109.0,433.0,31.0,34.0,24.0,,,
85,430003120131123.0,430.0,31.0,24.0,17.0,,,
86,31036520131129.0,365.0,31.0,31.0,27.0,,,
87,754003720130831.0,37.0,754.0,31.0,24.0,,,
88,430003720130914.0,37.0,430.0,24.0,20.0,,,
89,37036520130921.0,365.0,37.0,35.0,21.0,,,
90,433003720131005.0,37.0,433.0,30.0,22.0,,,
91,769003720131012.0,37.0,769.0,62.0,3.0,,,
92,37069720131019.0,37.0,697.0,45.0,41.0,,,
93,229003720131026.0,37.0,229.0,45.0,10.0,,,
94,37069420131109.0,37.0,694.0,55.0,23.0,,,
95,257003720131116.0,37.0,257.0,43.0,38.0,,,
96,434003720131207.0,37.0,434.0,59.0,42.0,,,
97,37023420140106.0,234.0,37.0,34.0,31.0,,,
98,299004720130829.0,47.0,299.0,51.0,28.0,,,
99,725004720130907.0,47.0,725.0,40.0,14.0,,,
100,47049720130914.0,497.0,47.0,34.0,27.0,,,
101,47020420130921.0,47.0,204.0,51.0,20.0,,,
102,709004720130928.0,47.0,709.0,31.0,24.0,,,
103,47074620131005.0,47.0,746.0,48.0,27.0,,,
104,331004720131012.0,47.0,331.0,27.0,24.0,,,
105,47077420131019.0,47.0,774.0,38.0,17.0,,,
106,129004720131106.0,47.0,129.0,44.0,24.0,,,
107,47050320131113.0,503.0,47.0,48.0,27.0,,,
108,414004720131129.0,47.0,414.0,55.0,14.0,,,
109,2915005120130831.0,51.0,2915.0,69.0,3.0,,,
110,86005120130907.0,51.0,86.0,70.0,13.0,,,
111,498005120130921.0,51.0,498.0,70.0,7.0,,,
112,768005120131005.0,51.0,768.0,73.0,42.0,,,
113,51032720131012.0,51.0,327.0,35.0,25.0,,,
114,311005120131019.0,51.0,311.0,71.0,7.0,,,
115,51032820131026.0,51.0,328.0,59.0,14.0,,,
