,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5053920060902.0,539.0,5.0,34.0,16.0,,,
1,5049020060909.0,5.0,490.0,20.0,17.0,,,
2,5012920060916.0,129.0,5.0,24.0,21.0,,,
3,497000520060923.0,5.0,497.0,33.0,13.0,,,
4,5033120060930.0,331.0,5.0,37.0,15.0,,,
5,5014020061007.0,140.0,5.0,20.0,14.0,,,
6,414000520061021.0,5.0,414.0,24.0,13.0,,,
7,5070920061028.0,709.0,5.0,35.0,20.0,,,
8,71000520061104.0,5.0,71.0,35.0,28.0,,,
9,86000520061109.0,5.0,86.0,31.0,16.0,,,
10,5051920061116.0,519.0,5.0,17.0,7.0,,,
11,774000520061124.0,774.0,5.0,17.0,0.0,,,
12,277000820060902.0,8.0,277.0,25.0,17.0,,,
13,736000820060909.0,8.0,736.0,13.0,10.0,,,
14,498000820060916.0,8.0,498.0,41.0,7.0,,,
15,8003120060923.0,31.0,8.0,24.0,23.0,,,
16,8023520060930.0,235.0,8.0,28.0,13.0,,,
17,193000820061007.0,8.0,193.0,30.0,14.0,,,
18,433000820061014.0,8.0,433.0,26.0,23.0,,,
19,8069420061021.0,694.0,8.0,16.0,13.0,,,
20,231000820061028.0,8.0,231.0,38.0,3.0,,,
21,430000820061104.0,430.0,8.0,24.0,16.0,,,
22,8036520061111.0,365.0,8.0,28.0,14.0,,,
23,37000820061118.0,37.0,8.0,22.0,15.0,,,
24,521000820061228.0,521.0,8.0,34.0,31.0,,,
25,9052220060902.0,522.0,9.0,24.0,17.0,,,
26,196000920060909.0,9.0,196.0,17.0,12.0,,,
27,9025720060916.0,257.0,9.0,34.0,0.0,,,
28,430000920060923.0,430.0,9.0,16.0,10.0,,,
29,716000920060930.0,9.0,716.0,21.0,3.0,,,
30,404000920061007.0,9.0,404.0,35.0,29.0,,,
31,9057420061014.0,574.0,9.0,34.0,33.0,,,
32,388000920061021.0,388.0,9.0,31.0,24.0,,,
33,9066320061031.0,663.0,9.0,22.0,9.0,,,
34,704000920061110.0,704.0,9.0,36.0,17.0,,,
35,9066420061118.0,664.0,9.0,25.0,20.0,,,
36,9012820061125.0,128.0,9.0,31.0,22.0,,,
37,501002820060831.0,28.0,501.0,35.0,14.0,,,
38,466002820060909.0,28.0,466.0,52.0,21.0,,,
39,28015720060916.0,28.0,157.0,21.0,3.0,,,
40,28010720060923.0,107.0,28.0,49.0,21.0,,,
41,529002820060930.0,529.0,28.0,48.0,13.0,,,
42,28065720061014.0,657.0,28.0,28.0,21.0,,,
43,674002820061021.0,28.0,674.0,38.0,3.0,,,
44,28075620061028.0,28.0,756.0,26.0,23.0,,,
45,28052820061104.0,528.0,28.0,44.0,10.0,,,
46,754002820061111.0,28.0,754.0,47.0,14.0,,,
47,110002820061118.0,110.0,28.0,24.0,12.0,,,
48,28002920061125.0,28.0,29.0,28.0,14.0,,,
49,277002820061224.0,277.0,28.0,41.0,24.0,,,
50,77002920060902.0,29.0,77.0,16.0,13.0,,,
51,29036520060909.0,365.0,29.0,45.0,3.0,,,
52,676002920060916.0,29.0,676.0,28.0,10.0,,,
53,657002920060923.0,657.0,29.0,20.0,3.0,,,
54,756002920060930.0,756.0,29.0,21.0,10.0,,,
55,29011020061007.0,110.0,29.0,27.0,7.0,,,
56,29067420061014.0,29.0,674.0,20.0,7.0,,,
57,528002920061021.0,528.0,29.0,17.0,10.0,,,
58,29075420061104.0,29.0,754.0,27.0,17.0,,,
59,107002920061111.0,29.0,107.0,24.0,20.0,,,
60,29052920061118.0,29.0,529.0,37.0,10.0,,,
61,725003020060902.0,30.0,725.0,14.0,6.0,,,
62,521003020060909.0,521.0,30.0,35.0,7.0,,,
63,30066320060923.0,663.0,30.0,55.0,9.0,,,
64,30023120060930.0,30.0,231.0,31.0,6.0,,,
65,498003020061007.0,30.0,498.0,10.0,6.0,,,
66,30040420061014.0,30.0,404.0,26.0,23.0,,,
67,497003020061021.0,30.0,497.0,29.0,10.0,,,
68,30022920061028.0,229.0,30.0,29.0,0.0,,,
69,30003720061104.0,37.0,30.0,27.0,0.0,,,
70,419003020061111.0,419.0,30.0,38.0,10.0,,,
71,30071620061118.0,30.0,716.0,33.0,26.0,,,
72,30067120061125.0,671.0,30.0,28.0,13.0,,,
73,657003120060902.0,657.0,31.0,50.0,14.0,,,
74,731003120060909.0,31.0,731.0,20.0,0.0,,,
75,31073620060916.0,31.0,736.0,21.0,19.0,,,
76,31003720061007.0,31.0,37.0,27.0,10.0,,,
77,654003120061014.0,31.0,654.0,63.0,7.0,,,
78,433003120061021.0,31.0,433.0,38.0,3.0,,,
79,31049820061028.0,31.0,498.0,44.0,10.0,,,
80,31064820061104.0,31.0,648.0,26.0,20.0,,,
81,694003120061111.0,31.0,694.0,31.0,14.0,,,
82,31043020061118.0,31.0,430.0,28.0,14.0,,,
83,365003120061124.0,365.0,31.0,31.0,26.0,,,
84,31023520061202.0,235.0,31.0,38.0,28.0,,,
85,31079620070101.0,796.0,31.0,17.0,14.0,,,
86,754003720060902.0,37.0,754.0,40.0,14.0,,,
87,37043020060909.0,37.0,430.0,34.0,0.0,,,
88,365003720060916.0,37.0,365.0,7.0,3.0,,,
89,86003720060923.0,37.0,86.0,38.0,7.0,,,
90,37064820060928.0,37.0,648.0,24.0,17.0,,,
91,235003720061014.0,37.0,235.0,27.0,17.0,,,
92,718003720061021.0,37.0,718.0,38.0,13.0,,,
93,37043320061028.0,37.0,433.0,23.0,17.0,,,
94,257003720061111.0,257.0,37.0,37.0,15.0,,,
95,37046320070101.0,37.0,463.0,17.0,14.0,,,
96,204004720060831.0,47.0,204.0,38.0,20.0,,,
97,306004720060909.0,306.0,47.0,24.0,23.0,,,
98,47055920060916.0,559.0,47.0,38.0,28.0,,,
99,493004720060923.0,493.0,47.0,29.0,24.0,,,
100,503004720060930.0,503.0,47.0,40.0,28.0,,,
101,47008620061007.0,47.0,86.0,55.0,25.0,,,
102,47012920061014.0,129.0,47.0,18.0,7.0,,,
103,774004720061021.0,774.0,47.0,41.0,27.0,,,
104,47041420061028.0,47.0,414.0,20.0,17.0,,,
105,47041820061104.0,418.0,47.0,34.0,26.0,,,
106,47070920061114.0,47.0,709.0,20.0,17.0,,,
107,331004720061124.0,47.0,331.0,30.0,6.0,,,
108,698005120060903.0,698.0,51.0,17.0,7.0,,,
