,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
78,80.0,3347.0,20080801.0, ARG, ARGH                , Houston             ,cf2008    
79,81.0,821.0,20080801.0, ARG, ARGH                , Bowling Green       ,cf2008    
80,82.0,4785.0,20080801.0, ARG, ARGH                , MTSU                ,cf2008    
81,83.0,7365.0,20080801.0, ARG, ARGH                , Southern Miss       ,cf2008    
82,84.0,5316.0,20080801.0, ARG, ARGH                , Nevada              ,cf2008    
83,85.0,7729.0,20080801.0, ARG, ARGH                , Syracuse            ,cf2008    
84,86.0,4725.0,20080801.0, ARG, ARGH                , Miami OH            ,cf2008    
85,87.0,4200.0,20080801.0, ARG, ARGH                , ULM                 ,cf2008    
86,88.0,4436.0,20080801.0, ARG, ARGH                , Marshall            ,cf2008    
87,89.0,557.0,20080801.0, ARG, ARGH                , Baylor              ,cf2008    
88,90.0,5253.0,20080801.0, ARG, ARGH                , Navy                ,cf2008    
89,91.0,3554.0,20080801.0, ARG, ARGH                , Iowa St             ,cf2008    
90,92.0,7933.0,20080801.0, ARG, ARGH                , UTEP                ,cf2008    
91,93.0,7002.0,20080801.0, ARG, ARGH                , San Diego St        ,cf2008    
92,94.0,7978.0,20080801.0, ARG, ARGH                , Toledo              ,cf2008    
93,95.0,979.0,20080801.0, ARG, ARGH                , Buffalo             ,cf2008    
94,96.0,4636.0,20080801.0, ARG, ARGH                , Memphis             ,cf2008    
95,97.0,5825.0,20080801.0, ARG, ARGH                , Ohio                ,cf2008    
96,98.0,5323.0,20080801.0, ARG, ARGH                , UNLV                ,cf2008    
97,99.0,3771.0,20080801.0, ARG, ARGH                , Kent                ,cf2008    
98,100.0,8092.0,20080801.0, ARG, ARGH                , Tulane              ,cf2008    
99,101.0,7788.0,20080801.0, ARG, ARGH                , Temple              ,cf2008    
100,102.0,6535.0,20080801.0, ARG, ARGH                , Rice                ,cf2008    
101,103.0,8761.0,20080801.0, ARG, ARGH                , WKU                 ,cf2008    
102,104.0,7024.0,20080801.0, ARG, ARGH                , San Jose St         ,cf2008    
103,105.0,333.0,20080801.0, ARG, ARGH                , Arkansas St         ,cf2008    
104,106.0,87.0,20080801.0, ARG, ARGH                , UAB                 ,cf2008    
105,107.0,66.0,20080801.0, ARG, ARGH                , Akron               ,cf2008    
106,108.0,1753.0,20080801.0, ARG, ARGH                , Colorado St         ,cf2008    
107,109.0,4218.0,20080801.0, ARG, ARGH                , Louisiana Tech      ,cf2008    
108,110.0,4194.0,20080801.0, ARG, ARGH                , ULL                 ,cf2008    
109,111.0,2265.0,20080801.0, ARG, ARGH                , Duke                ,cf2008    
110,112.0,2353.0,20080801.0, ARG, ARGH                , E Michigan          ,cf2008    
111,113.0,5634.0,20080801.0, ARG, ARGH                , N Illinois          ,cf2008    
112,114.0,5584.0,20080801.0, ARG, ARGH                , North Texas         ,cf2008    
113,115.0,5387.0,20080801.0, ARG, ARGH                , New Mexico St       ,cf2008    
114,116.0,3415.0,20080801.0, ARG, ARGH                , Idaho               ,cf2008    
115,117.0,8325.0,20080801.0, ARG, ARGH                , Utah St             ,cf2008    
116,118.0,7358.0,20080801.0, ARG, ARGH                , SMU                 ,cf2008    
117,119.0,356.0,20080801.0, ARG, ARGH                , Army                ,cf2008    
118,120.0,2652.0,20080801.0, ARG, ARGH                , Florida Intl        ,cf2008    
7974,1.0,2625.0,20080901.0, ARG, ARGH                , Florida             ,cf2008    
7975,2.0,5850.0,20080901.0, ARG, ARGH                , Ohio St             ,cf2008    
7976,3.0,8251.0,20080901.0, ARG, ARGH                , USC                 ,cf2008    
7977,4.0,2881.0,20080901.0, ARG, ARGH                , Georgia             ,cf2008    
7978,5.0,4948.0,20080901.0, ARG, ARGH                , Missouri            ,cf2008    
7979,6.0,4206.0,20080901.0, ARG, ARGH                , LSU                 ,cf2008    
7980,7.0,402.0,20080901.0, ARG, ARGH                , Auburn              ,cf2008    
7981,8.0,5961.0,20080901.0, ARG, ARGH                , Oregon              ,cf2008    
7982,9.0,74.0,20080901.0, ARG, ARGH                , Alabama             ,cf2008    
7983,10.0,7242.0,20080901.0, ARG, ARGH                , South Carolina      ,cf2008    
7984,11.0,5886.0,20080901.0, ARG, ARGH                , Oklahoma            ,cf2008    
