,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5051820110903.0,518.0,5.0,42.0,0.0,,,
1,690000520110910.0,690.0,5.0,41.0,3.0,,,
2,5014020110917.0,140.0,5.0,59.0,14.0,,,
3,741000520110924.0,5.0,741.0,36.0,13.0,,,
4,5020420111001.0,204.0,5.0,31.0,23.0,,,
5,231000520111008.0,231.0,5.0,27.0,17.0,,,
6,519000520111022.0,519.0,5.0,37.0,20.0,,,
7,129000520111029.0,129.0,5.0,23.0,22.0,,,
8,5041420111103.0,414.0,5.0,35.0,3.0,,,
9,331000520111112.0,331.0,5.0,35.0,3.0,,,
10,5008620111119.0,86.0,5.0,51.0,10.0,,,
11,5077420111125.0,774.0,5.0,68.0,19.0,,,
12,331000820110903.0,8.0,331.0,48.0,7.0,,,
13,8053920110910.0,8.0,539.0,27.0,11.0,,,
14,497000820110917.0,8.0,497.0,41.0,0.0,,,
15,31000820110924.0,8.0,31.0,38.0,14.0,,,
16,8023520111001.0,8.0,235.0,38.0,10.0,,,
17,736000820111008.0,8.0,736.0,34.0,0.0,,,
18,8043320111015.0,8.0,433.0,52.0,7.0,,,
19,694000820111022.0,8.0,694.0,37.0,6.0,,,
20,365000820111105.0,365.0,8.0,9.0,6.0,,,
21,8043020111112.0,8.0,430.0,24.0,7.0,,,
22,253000820111119.0,8.0,253.0,45.0,21.0,,,
23,8003720111126.0,8.0,37.0,42.0,14.0,,,
24,8036520120109.0,8.0,365.0,21.0,0.0,,,
25,9023520110910.0,235.0,9.0,39.0,0.0,,,
26,718000920110917.0,718.0,9.0,49.0,10.0,,,
27,9019620110924.0,196.0,9.0,28.0,23.0,,,
28,9071620111001.0,716.0,9.0,24.0,23.0,,,
29,430000920111008.0,430.0,9.0,21.0,3.0,,,
30,9071920111015.0,719.0,9.0,37.0,20.0,,,
31,128000920111020.0,9.0,128.0,26.0,24.0,,,
32,9038820111029.0,388.0,9.0,59.0,14.0,,,
33,288000920111105.0,288.0,9.0,56.0,13.0,,,
34,9040420111112.0,9.0,404.0,41.0,35.0,,,
35,664000920111117.0,9.0,664.0,34.0,31.0,,,
36,9022920111126.0,229.0,9.0,38.0,35.0,,,
37,108002820110901.0,28.0,108.0,48.0,14.0,,,
38,434002820110909.0,28.0,434.0,37.0,30.0,,,
39,28030120110917.0,301.0,28.0,17.0,14.0,,,
40,657002820110924.0,28.0,657.0,43.0,22.0,,,
41,528002820111001.0,28.0,528.0,35.0,20.0,,,
42,28073220111008.0,28.0,732.0,35.0,14.0,,,
43,28052920111015.0,529.0,28.0,41.0,27.0,,,
44,157002820111029.0,28.0,157.0,48.0,14.0,,,
45,28011020111105.0,110.0,28.0,29.0,28.0,,,
46,28075420111112.0,754.0,28.0,37.0,27.0,,,
47,29002820111119.0,29.0,28.0,31.0,27.0,,,
48,107002820111125.0,107.0,28.0,47.0,38.0,,,
49,28006620111222.0,66.0,28.0,56.0,24.0,,,
50,501002920110903.0,29.0,501.0,41.0,10.0,,,
51,29052120110908.0,521.0,29.0,37.0,14.0,,,
52,674002920110917.0,674.0,29.0,37.0,10.0,,,
53,529002920110924.0,529.0,29.0,56.0,31.0,,,
54,29065720111001.0,657.0,29.0,48.0,41.0,,,
55,29052820111008.0,528.0,29.0,37.0,27.0,,,
56,110002920111020.0,29.0,110.0,48.0,12.0,,,
57,29075620111029.0,756.0,29.0,42.0,31.0,,,
58,732002920111105.0,732.0,29.0,34.0,21.0,,,
59,29015720111112.0,157.0,29.0,48.0,29.0,,,
60,671002920111126.0,29.0,671.0,45.0,37.0,,,
61,30030120110903.0,301.0,30.0,33.0,15.0,,,
62,404003020110910.0,30.0,404.0,47.0,3.0,,,
63,30074220110917.0,742.0,30.0,26.0,7.0,,,
64,1004003020110924.0,30.0,1004.0,53.0,24.0,,,
65,30077220111001.0,30.0,772.0,26.0,22.0,,,
66,30049820111008.0,30.0,498.0,24.0,19.0,,,
67,231003020111018.0,30.0,231.0,34.0,16.0,,,
68,497003020111029.0,30.0,497.0,37.0,14.0,,,
69,30022920111105.0,30.0,229.0,39.0,21.0,,,
70,671003020111112.0,30.0,671.0,30.0,21.0,,,
71,30041920111119.0,30.0,419.0,45.0,19.0,,,
72,716003020111203.0,30.0,716.0,45.0,14.0,,,
73,30050320120108.0,503.0,30.0,38.0,20.0,,,
74,669003120110903.0,31.0,669.0,51.0,7.0,,,
75,473003120110910.0,31.0,473.0,52.0,3.0,,,
76,716003120110917.0,31.0,716.0,38.0,28.0,,,
77,697003120111001.0,31.0,697.0,42.0,38.0,,,
78,37003120111008.0,31.0,37.0,38.0,14.0,,,
79,31043320111022.0,31.0,433.0,29.0,24.0,,,
80,31073620111029.0,31.0,736.0,31.0,28.0,,,
81,648003120111105.0,31.0,648.0,44.0,28.0,,,
82,694003120111112.0,31.0,694.0,49.0,7.0,,,
83,430003120111119.0,31.0,430.0,44.0,17.0,,,
84,31036520111125.0,365.0,31.0,41.0,17.0,,,
85,327003120120106.0,31.0,327.0,29.0,16.0,,,
86,731003720110903.0,37.0,731.0,42.0,38.0,,,
87,430003720110910.0,37.0,430.0,41.0,34.0,,,
88,37014720110917.0,147.0,37.0,38.0,24.0,,,
89,229003720110924.0,37.0,229.0,30.0,14.0,,,
90,37064820111001.0,37.0,648.0,16.0,13.0,,,
