,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5053920090905.0,539.0,5.0,31.0,7.0,,,
1,446000520090912.0,5.0,446.0,41.0,0.0,,,
2,306000520090919.0,306.0,5.0,38.0,21.0,,,
3,5012920090926.0,129.0,5.0,48.0,21.0,,,
4,519000520091010.0,519.0,5.0,19.0,7.0,,,
5,5008620091017.0,86.0,5.0,21.0,17.0,,,
6,5068820091024.0,688.0,5.0,28.0,14.0,,,
7,5050320091031.0,503.0,5.0,27.0,10.0,,,
8,331000520091107.0,5.0,331.0,28.0,20.0,,,
9,690000520091113.0,690.0,5.0,56.0,17.0,,,
10,5007120091120.0,71.0,5.0,36.0,20.0,,,
11,204000520091127.0,5.0,204.0,28.0,21.0,,,
12,8074220090905.0,8.0,742.0,34.0,24.0,,,
13,231000820090912.0,8.0,231.0,40.0,14.0,,,
14,497000820090919.0,8.0,497.0,53.0,7.0,,,
15,31000820090926.0,8.0,31.0,35.0,7.0,,,
16,8033420091003.0,8.0,334.0,38.0,20.0,,,
17,8043320091010.0,8.0,433.0,22.0,3.0,,,
18,648000820091017.0,8.0,648.0,20.0,6.0,,,
19,694000820091024.0,8.0,694.0,12.0,10.0,,,
20,365000820091107.0,8.0,365.0,24.0,15.0,,,
21,8043020091114.0,8.0,430.0,31.0,3.0,,,
22,693000820091121.0,8.0,693.0,45.0,0.0,,,
23,8003720091127.0,8.0,37.0,26.0,21.0,,,
24,235000820091205.0,8.0,235.0,32.0,13.0,,,
25,703000820100107.0,8.0,703.0,37.0,21.0,,,
26,574000920090905.0,9.0,574.0,44.0,24.0,,,
27,663000920090912.0,663.0,9.0,35.0,33.0,,,
28,9071620090919.0,716.0,9.0,27.0,14.0,,,
29,9069720090926.0,697.0,9.0,56.0,19.0,,,
30,664000920091001.0,9.0,664.0,30.0,17.0,,,
31,9043320091017.0,433.0,9.0,48.0,13.0,,,
32,9038820091024.0,388.0,9.0,27.0,7.0,,,
33,9070420091031.0,9.0,704.0,38.0,33.0,,,
34,229000920091107.0,9.0,229.0,56.0,29.0,,,
35,9040420091114.0,9.0,404.0,31.0,21.0,,,
36,9019620091121.0,196.0,9.0,37.0,21.0,,,
37,128000920091128.0,128.0,9.0,34.0,27.0,,,
38,294002820090905.0,28.0,294.0,50.0,3.0,,,
39,498002820090919.0,28.0,498.0,38.0,14.0,,,
40,28025720090926.0,257.0,28.0,20.0,17.0,,,
41,528002820091003.0,528.0,28.0,28.0,17.0,,,
42,28075420091010.0,28.0,754.0,27.0,14.0,,,
43,756002820091017.0,28.0,756.0,24.0,17.0,,,
44,28067420091024.0,674.0,28.0,33.0,14.0,,,
45,107002820091031.0,107.0,28.0,23.0,21.0,,,
46,657002820091107.0,657.0,28.0,14.0,9.0,,,
47,28052920091114.0,529.0,28.0,44.0,21.0,,,
48,28011020091121.0,110.0,28.0,23.0,13.0,,,
49,29002820091128.0,29.0,28.0,20.0,17.0,,,
50,129002920090905.0,29.0,129.0,19.0,6.0,,,
51,501002920090912.0,29.0,501.0,34.0,17.0,,,
52,29031220090919.0,312.0,29.0,27.0,17.0,,,
53,29052820090926.0,29.0,528.0,37.0,32.0,,,
54,29075620091010.0,756.0,29.0,36.0,33.0,,,
55,674002920091017.0,29.0,674.0,43.0,38.0,,,
56,110002920091024.0,29.0,110.0,27.0,13.0,,,
57,754002920091107.0,29.0,754.0,48.0,7.0,,,
58,29010720091114.0,107.0,29.0,24.0,16.0,,,
59,529002920091121.0,529.0,29.0,44.0,41.0,,,
60,29065720091205.0,29.0,657.0,21.0,17.0,,,
61,29046320091230.0,463.0,29.0,33.0,0.0,,,
62,432003020090905.0,30.0,432.0,61.0,0.0,,,
63,30046320090912.0,463.0,30.0,38.0,9.0,,,
64,716003020090926.0,716.0,30.0,30.0,27.0,,,
65,30031220091003.0,312.0,30.0,24.0,21.0,,,
66,30049820091013.0,498.0,30.0,16.0,10.0,,,
67,231003020091024.0,30.0,231.0,27.0,10.0,,,
68,30036720091031.0,367.0,30.0,21.0,13.0,,,
69,671003020091107.0,671.0,30.0,21.0,18.0,,,
70,30022920091114.0,229.0,30.0,35.0,18.0,,,
71,30041920091121.0,419.0,30.0,38.0,14.0,,,
72,497003020091128.0,30.0,497.0,30.0,26.0,,,
73,30077220091203.0,30.0,772.0,24.0,20.0,,,
74,669003120090905.0,31.0,669.0,48.0,10.0,,,
75,257003120090919.0,257.0,31.0,52.0,41.0,,,
76,697003120091003.0,31.0,697.0,47.0,19.0,,,
77,37003120091010.0,31.0,37.0,44.0,23.0,,,
78,31023520091017.0,235.0,31.0,23.0,20.0,,,
79,31043320091024.0,433.0,31.0,30.0,17.0,,,
80,204003120091031.0,31.0,204.0,63.0,27.0,,,
81,648003120091107.0,31.0,648.0,33.0,16.0,,,
82,716003120091114.0,31.0,716.0,56.0,20.0,,,
83,430003120091121.0,31.0,430.0,42.0,21.0,,,
84,31036520091128.0,365.0,31.0,33.0,30.0,,,
85,31019620100102.0,31.0,196.0,20.0,17.0,,,
86,366003720090905.0,37.0,366.0,37.0,13.0,,,
87,430003720090912.0,37.0,430.0,49.0,24.0,,,
88,768003720090919.0,37.0,768.0,41.0,30.0,,,
89,47003720090926.0,37.0,47.0,54.0,30.0,,,
90,37069420091003.0,37.0,694.0,26.0,22.0,,,
91,334003720091017.0,334.0,37.0,21.0,14.0,,,
92,37036520091024.0,365.0,37.0,31.0,10.0,,,
93,433003720091031.0,37.0,433.0,33.0,20.0,,,
94,244003720091107.0,37.0,244.0,63.0,31.0,,,
95,37025720091114.0,257.0,37.0,31.0,24.0,,,
96,509003720100101.0,37.0,509.0,38.0,35.0,,,
97,497004720090903.0,497.0,47.0,20.0,10.0,,,
98,469004720090912.0,469.0,47.0,23.0,16.0,,,
99,47072520090919.0,725.0,47.0,24.0,17.0,,,
100,709004720091003.0,709.0,47.0,37.0,30.0,,,
101,47069020091010.0,690.0,47.0,24.0,19.0,,,
102,71004720091017.0,71.0,47.0,31.0,17.0,,,
103,47020420091024.0,47.0,204.0,29.0,27.0,,,
104,519004720091031.0,519.0,47.0,20.0,17.0,,,
105,47050320091112.0,503.0,47.0,26.0,20.0,,,
106,129004720091118.0,129.0,47.0,35.0,3.0,,,
107,47077420091124.0,47.0,774.0,22.0,17.0,,,
108,51074920090905.0,51.0,749.0,24.0,21.0,,,
109,164005120090919.0,164.0,51.0,30.0,22.0,,,
110,508005120090926.0,51.0,508.0,68.0,13.0,,,
111,331005120091003.0,51.0,331.0,31.0,15.0,,,
112,51052220091010.0,522.0,51.0,33.0,7.0,,,
113,51031120091017.0,311.0,51.0,24.0,10.0,,,
114,521005120091024.0,521.0,51.0,34.0,7.0,,,
115,463005120091031.0,463.0,51.0,20.0,10.0,,,
116,51043420091107.0,51.0,434.0,40.0,32.0,,,
117,703005120091114.0,703.0,51.0,47.0,14.0,,,
118,51069720091121.0,697.0,51.0,38.0,3.0,,,
119,700005120091128.0,700.0,51.0,20.0,13.0,,,
120,529006620090903.0,66.0,529.0,19.0,8.0,,,
121,414006620090912.0,66.0,414.0,48.0,0.0,,,
122,66009620090918.0,66.0,96.0,51.0,34.0,,,
123,66007120090926.0,66.0,71.0,49.0,14.0,,,
124,108006620091003.0,66.0,108.0,34.0,16.0,,,
125,66071920091014.0,66.0,719.0,28.0,21.0,,,
126,66027720091024.0,66.0,277.0,54.0,9.0,,,
127,630006620091031.0,66.0,630.0,45.0,7.0,,,
128,66036620091106.0,66.0,366.0,45.0,35.0,,,
129,295006620091114.0,66.0,295.0,63.0,25.0,,,
130,66073120091120.0,66.0,731.0,52.0,21.0,,,
131,466006620091127.0,66.0,466.0,44.0,33.0,,,
132,472006620091205.0,66.0,472.0,42.0,7.0,,,
133,66069820100104.0,66.0,698.0,17.0,10.0,,,
134,500006720090905.0,67.0,500.0,54.0,0.0,,,
135,331006720090912.0,67.0,331.0,34.0,7.0,,,
136,67014720090919.0,147.0,67.0,25.0,7.0,,,
137,749006720090926.0,67.0,749.0,27.0,24.0,,,
138,234006720091003.0,67.0,234.0,28.0,21.0,,,
139,67074220091010.0,742.0,67.0,48.0,14.0,,,
140,490006720091017.0,67.0,490.0,52.0,20.0,,,
