,      74,    1,   20110801, ARG, ARGH                , Alabama             ,cf2011    
0,5886.0,2.0,20110801.0, ARG, ARGH                , Oklahoma            ,cf2011    
1,5961.0,3.0,20110801.0, ARG, ARGH                , Oregon              ,cf2011    
2,4206.0,4.0,20110801.0, ARG, ARGH                , LSU                 ,cf2011    
3,771.0,5.0,20110801.0, ARG, ARGH                , Boise St            ,cf2011    
4,7878.0,6.0,20110801.0, ARG, ARGH                , TCU                 ,cf2011    
5,7848.0,7.0,20110801.0, ARG, ARGH                , Texas A&M           ,cf2011    
6,5749.0,8.0,20110801.0, ARG, ARGH                , Notre Dame          ,cf2011    
7,5912.0,9.0,20110801.0, ARG, ARGH                , Oklahoma St         ,cf2011    
8,2666.0,10.0,20110801.0, ARG, ARGH                , Florida St          ,cf2011    
9,7582.0,11.0,20110801.0, ARG, ARGH                , Stanford            ,cf2011    
10,316.0,12.0,20110801.0, ARG, ARGH                , Arkansas            ,cf2011    
11,5850.0,13.0,20110801.0, ARG, ARGH                , Ohio St             ,cf2011    
12,4948.0,14.0,20110801.0, ARG, ARGH                , Missouri            ,cf2011    
13,5279.0,15.0,20110801.0, ARG, ARGH                , Nebraska            ,cf2011    
14,7242.0,16.0,20110801.0, ARG, ARGH                , South Carolina      ,cf2011    
15,402.0,17.0,20110801.0, ARG, ARGH                , Auburn              ,cf2011    
16,4936.0,18.0,20110801.0, ARG, ARGH                , Mississippi St      ,cf2011    
17,8251.0,19.0,20110801.0, ARG, ARGH                , USC                 ,cf2011    
18,8459.0,20.0,20110801.0, ARG, ARGH                , Virginia Tech       ,cf2011    
19,9031.0,21.0,20110801.0, ARG, ARGH                , Wisconsin           ,cf2011    
20,6114.0,22.0,20110801.0, ARG, ARGH                , Penn St             ,cf2011    
21,8315.0,23.0,20110801.0, ARG, ARGH                , Utah                ,cf2011    
22,8716.0,24.0,20110801.0, ARG, ARGH                , West Virginia       ,cf2011    
23,1603.0,25.0,20110801.0, ARG, ARGH                , Clemson             ,cf2011    
24,2625.0,26.0,20110801.0, ARG, ARGH                , Florida             ,cf2011    
25,7840.0,27.0,20110801.0, ARG, ARGH                , Texas               ,cf2011    
26,4757.0,28.0,20110801.0, ARG, ARGH                , Michigan St         ,cf2011    
27,2881.0,29.0,20110801.0, ARG, ARGH                , Georgia             ,cf2011    
28,891.0,30.0,20110801.0, ARG, ARGH                , BYU                 ,cf2011    
29,1529.0,31.0,20110801.0, ARG, ARGH                , Cincinnati          ,cf2011    
30,3540.0,32.0,20110801.0, ARG, ARGH                , Iowa                ,cf2011    
31,5970.0,33.0,20110801.0, ARG, ARGH                , Oregon St           ,cf2011    
32,4719.0,34.0,20110801.0, ARG, ARGH                , Miami FL            ,cf2011    
33,783.0,35.0,20110801.0, ARG, ARGH                , Boston College      ,cf2011    
34,8551.0,36.0,20110801.0, ARG, ARGH                , Washington          ,cf2011    
35,4741.0,37.0,20110801.0, ARG, ARGH                , Michigan            ,cf2011    
36,294.0,38.0,20110801.0, ARG, ARGH                , Arizona             ,cf2011    
37,7918.0,39.0,20110801.0, ARG, ARGH                , Texas Tech          ,cf2011    
38,55.0,40.0,20110801.0, ARG, ARGH                , Air Force           ,cf2011    
39,5316.0,41.0,20110801.0, ARG, ARGH                , Nevada              ,cf2011    
40,1098.0,42.0,20110801.0, ARG, ARGH                , California          ,cf2011    
41,7801.0,43.0,20110801.0, ARG, ARGH                , Tennessee           ,cf2011    
42,6236.0,44.0,20110801.0, ARG, ARGH                , Pittsburgh          ,cf2011    
43,3425.0,45.0,20110801.0, ARG, ARGH                , Illinois            ,cf2011    
44,8141.0,46.0,20110801.0, ARG, ARGH                , UCLA                ,cf2011    
45,5511.0,47.0,20110801.0, ARG, ARGH                , NC State            ,cf2011    
46,557.0,48.0,20110801.0, ARG, ARGH                , Baylor              ,cf2011    
47,7358.0,49.0,20110801.0, ARG, ARGH                , SMU                 ,cf2011    
48,5704.0,50.0,20110801.0, ARG, ARGH                , Northwestern        ,cf2011    
49,1380.0,51.0,20110801.0, ARG, ARGH                , UCF                 ,cf2011    
50,5492.0,52.0,20110801.0, ARG, ARGH                , North Carolina      ,cf2011    
51,3781.0,53.0,20110801.0, ARG, ARGH                , Kentucky            ,cf2011    
52,4920.0,54.0,20110801.0, ARG, ARGH                , Mississippi         ,cf2011    
53,1872.0,55.0,20110801.0, ARG, ARGH                , Connecticut         ,cf2011    
54,7278.0,56.0,20110801.0, ARG, ARGH                , South Florida       ,cf2011    
55,7978.0,57.0,20110801.0, ARG, ARGH                , Toledo              ,cf2011    
56,6696.0,58.0,20110801.0, ARG, ARGH                , Rutgers             ,cf2011    
57,8099.0,59.0,20110801.0, ARG, ARGH                , Tulsa               ,cf2011    
58,304.0,60.0,20110801.0, ARG, ARGH                , Arizona St          ,cf2011    
59,2911.0,61.0,20110801.0, ARG, ARGH                , Georgia Tech        ,cf2011    
60,4474.0,62.0,20110801.0, ARG, ARGH                , Maryland            ,cf2011    
61,2292.0,63.0,20110801.0, ARG, ARGH                , East Carolina       ,cf2011    
62,6393.0,64.0,20110801.0, ARG, ARGH                , Purdue              ,cf2011    
63,8508.0,65.0,20110801.0, ARG, ARGH                , Wake Forest         ,cf2011    
64,8432.0,66.0,20110801.0, ARG, ARGH                , Virginia            ,cf2011    
65,7365.0,67.0,20110801.0, ARG, ARGH                , Southern Miss       ,cf2011    
66,7729.0,68.0,20110801.0, ARG, ARGH                , Syracuse            ,cf2011    
67,3347.0,69.0,20110801.0, ARG, ARGH                , Houston             ,cf2011    
68,3731.0,70.0,20110801.0, ARG, ARGH                , Kansas St           ,cf2011    
69,3554.0,71.0,20110801.0, ARG, ARGH                , Iowa St             ,cf2011    
70,7002.0,72.0,20110801.0, ARG, ARGH                , San Diego St        ,cf2011    
71,3197.0,73.0,20110801.0, ARG, ARGH                , Hawaii              ,cf2011    
72,4224.0,74.0,20110801.0, ARG, ARGH                , Louisville          ,cf2011    
73,2265.0,75.0,20110801.0, ARG, ARGH                , Duke                ,cf2011    
74,1715.0,76.0,20110801.0, ARG, ARGH                , Colorado            ,cf2011    
75,5253.0,77.0,20110801.0, ARG, ARGH                , Navy                ,cf2011    
76,8367.0,78.0,20110801.0, ARG, ARGH                , Vanderbilt          ,cf2011    
77,8068.0,79.0,20110801.0, ARG, ARGH                , Troy                ,cf2011    
78,5634.0,80.0,20110801.0, ARG, ARGH                , N Illinois          ,cf2011    
79,3717.0,81.0,20110801.0, ARG, ARGH                , Kansas              ,cf2011    
80,2776.0,82.0,20110801.0, ARG, ARGH                , Fresno St           ,cf2011    
81,4200.0,83.0,20110801.0, ARG, ARGH                , ULM                 ,cf2011    
82,1404.0,84.0,20110801.0, ARG, ARGH                , C Michigan          ,cf2011    
83,4218.0,85.0,20110801.0, ARG, ARGH                , Louisiana Tech      ,cf2011    
84,2652.0,86.0,20110801.0, ARG, ARGH                , Florida Intl        ,cf2011    
85,4436.0,87.0,20110801.0, ARG, ARGH                , Marshall            ,cf2011    
86,8767.0,88.0,20110801.0, ARG, ARGH                , W Michigan          ,cf2011    
87,8588.0,89.0,20110801.0, ARG, ARGH                , Washington St       ,cf2011    
88,1753.0,90.0,20110801.0, ARG, ARGH                , Colorado St         ,cf2011    
89,87.0,91.0,20110801.0, ARG, ARGH                , UAB                 ,cf2011    
90,7788.0,92.0,20110801.0, ARG, ARGH                , Temple              ,cf2011    
91,4858.0,93.0,20110801.0, ARG, ARGH                , Minnesota           ,cf2011    
92,6535.0,94.0,20110801.0, ARG, ARGH                , Rice                ,cf2011    
93,5825.0,95.0,20110801.0, ARG, ARGH                , Ohio                ,cf2011    
94,8325.0,96.0,20110801.0, ARG, ARGH                , Utah St             ,cf2011    
95,3415.0,97.0,20110801.0, ARG, ARGH                , Idaho               ,cf2011    
96,356.0,98.0,20110801.0, ARG, ARGH                , Army                ,cf2011    
97,9162.0,99.0,20110801.0, ARG, ARGH                , Wyoming             ,cf2011    
98,4725.0,100.0,20110801.0, ARG, ARGH                , Miami OH            ,cf2011    
99,3484.0,101.0,20110801.0, ARG, ARGH                , Indiana             ,cf2011    
100,8092.0,102.0,20110801.0, ARG, ARGH                , Tulane              ,cf2011    
101,333.0,103.0,20110801.0, ARG, ARGH                , Arkansas St         ,cf2011    
102,5323.0,104.0,20110801.0, ARG, ARGH                , UNLV                ,cf2011    
103,3771.0,105.0,20110801.0, ARG, ARGH                , Kent                ,cf2011    
104,7024.0,106.0,20110801.0, ARG, ARGH                , San Jose St         ,cf2011    
105,821.0,107.0,20110801.0, ARG, ARGH                , Bowling Green       ,cf2011    
106,4785.0,108.0,20110801.0, ARG, ARGH                , MTSU                ,cf2011    
107,7933.0,109.0,20110801.0, ARG, ARGH                , UTEP                ,cf2011    
108,8761.0,110.0,20110801.0, ARG, ARGH                , WKU                 ,cf2011    
109,5387.0,111.0,20110801.0, ARG, ARGH                , New Mexico St       ,cf2011    
110,5371.0,112.0,20110801.0, ARG, ARGH                , New Mexico          ,cf2011    
111,2638.0,113.0,20110801.0, ARG, ARGH                , FL Atlantic         ,cf2011    
112,4194.0,114.0,20110801.0, ARG, ARGH                , ULL                 ,cf2011    
113,979.0,115.0,20110801.0, ARG, ARGH                , Buffalo             ,cf2011    
114,501.0,116.0,20110801.0, ARG, ARGH                , Ball St             ,cf2011    
115,66.0,117.0,20110801.0, ARG, ARGH                , Akron               ,cf2011    
116,2353.0,118.0,20110801.0, ARG, ARGH                , E Michigan          ,cf2011    
117,4636.0,119.0,20110801.0, ARG, ARGH                , Memphis             ,cf2011    
118,5584.0,120.0,20110801.0, ARG, ARGH                , North Texas         ,cf2011    
11133,74.0,1.0,20110905.0, ARG, ARGH                , Alabama             ,cf2011    
11134,5886.0,2.0,20110905.0, ARG, ARGH                , Oklahoma            ,cf2011    
11135,4206.0,3.0,20110905.0, ARG, ARGH                , LSU                 ,cf2011    
11136,771.0,4.0,20110905.0, ARG, ARGH                , Boise St            ,cf2011    
11137,5961.0,5.0,20110905.0, ARG, ARGH                , Oregon              ,cf2011    
11138,7848.0,6.0,20110905.0, ARG, ARGH                , Texas A&M           ,cf2011    
11139,2666.0,7.0,20110905.0, ARG, ARGH                , Florida St          ,cf2011    
11140,7878.0,8.0,20110905.0, ARG, ARGH                , TCU                 ,cf2011    
11141,5912.0,9.0,20110905.0, ARG, ARGH                , Oklahoma St         ,cf2011    
11142,7582.0,10.0,20110905.0, ARG, ARGH                , Stanford            ,cf2011    
11143,5749.0,11.0,20110905.0, ARG, ARGH                , Notre Dame          ,cf2011    
11144,5850.0,12.0,20110905.0, ARG, ARGH                , Ohio St             ,cf2011    
11145,4948.0,13.0,20110905.0, ARG, ARGH                , Missouri            ,cf2011    
11146,316.0,14.0,20110905.0, ARG, ARGH                , Arkansas            ,cf2011    
11147,7242.0,15.0,20110905.0, ARG, ARGH                , South Carolina      ,cf2011    
11148,4936.0,16.0,20110905.0, ARG, ARGH                , Mississippi St      ,cf2011    
11149,5279.0,17.0,20110905.0, ARG, ARGH                , Nebraska            ,cf2011    
