,Game Code,Winning Team Code,Losing Team Code,Winning Team Points,Losing Team Points,Winning Team Seed,Losing Team Seed,Upset Factor
0,5079620080830.0,796.0,5.0,38.0,17.0,,,
1,5068820080906.0,5.0,688.0,42.0,28.0,,,
2,47000520080913.0,47.0,5.0,41.0,24.0,,,
3,5072520080920.0,5.0,725.0,22.0,3.0,,,
4,140000520080927.0,140.0,5.0,17.0,15.0,,,
5,5033120081004.0,5.0,331.0,30.0,27.0,,,
6,71000520081011.0,71.0,5.0,37.0,33.0,,,
7,5020420081018.0,5.0,204.0,42.0,35.0,,,
8,709000520081105.0,5.0,709.0,47.0,30.0,,,
9,86000520081113.0,86.0,5.0,43.0,40.0,,,
10,5051920081122.0,519.0,5.0,49.0,42.0,,,
11,5069020081128.0,690.0,5.0,27.0,6.0,,,
12,8014720080830.0,8.0,147.0,34.0,10.0,,,
13,718000820080906.0,8.0,718.0,20.0,6.0,,,
14,772000820080913.0,8.0,772.0,41.0,7.0,,,
15,8003120080920.0,8.0,31.0,49.0,14.0,,,
16,8025720080927.0,8.0,257.0,41.0,30.0,,,
17,334000820081004.0,8.0,334.0,17.0,14.0,,,
18,433000820081018.0,8.0,433.0,24.0,20.0,,,
19,8069420081025.0,8.0,694.0,29.0,9.0,,,
20,30000820081101.0,8.0,30.0,35.0,0.0,,,
21,8036520081108.0,8.0,365.0,27.0,21.0,,,
22,430000820081115.0,8.0,430.0,32.0,7.0,,,
23,37000820081129.0,8.0,37.0,36.0,0.0,,,
24,8023520081206.0,235.0,8.0,31.0,20.0,,,
25,732000820090102.0,732.0,8.0,31.0,17.0,,,
26,719000920080830.0,719.0,9.0,45.0,22.0,,,
27,9022920080906.0,229.0,9.0,49.0,34.0,,,
28,9069420080913.0,694.0,9.0,35.0,3.0,,,
29,7000920080920.0,9.0,7.0,45.0,10.0,,,
30,9064820080927.0,648.0,9.0,26.0,13.0,,,
31,404000920081002.0,404.0,9.0,33.0,30.0,,,
32,9028820081009.0,288.0,9.0,45.0,20.0,,,
33,388000920081018.0,9.0,388.0,23.0,21.0,,,
34,9066420081101.0,664.0,9.0,70.0,14.0,,,
35,9071820081115.0,9.0,718.0,41.0,24.0,,,
36,196000920081122.0,196.0,9.0,17.0,13.0,,,
37,9012820081129.0,9.0,128.0,15.0,0.0,,,
38,501002820080830.0,28.0,501.0,30.0,13.0,,,
39,674002820080906.0,28.0,674.0,41.0,17.0,,,
40,465002820080913.0,465.0,28.0,23.0,20.0,,,
41,257002820080920.0,257.0,28.0,27.0,10.0,,,
42,28010720081004.0,107.0,28.0,24.0,14.0,,,
43,28065720081011.0,657.0,28.0,28.0,0.0,,,
44,529002820081025.0,529.0,28.0,54.0,20.0,,,
45,28052820081101.0,528.0,28.0,27.0,25.0,,,
46,28075620081108.0,28.0,756.0,39.0,19.0,,,
47,754002820081115.0,28.0,754.0,31.0,0.0,,,
48,110002820081128.0,28.0,110.0,34.0,9.0,,,
49,28002920081206.0,29.0,28.0,31.0,10.0,,,
50,295002920080830.0,29.0,295.0,70.0,0.0,,,
51,709002920080906.0,29.0,709.0,41.0,16.0,,,
52,29047320080913.0,473.0,29.0,36.0,28.0,,,
53,29011020080920.0,29.0,110.0,31.0,10.0,,,
